Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Fri, Oct 10, 1980",Cleveland Cavaliers,103,Boston Celtics,130,Box Score,,"15,320",
"Fri, Oct 10, 1980",San Antonio Spurs,113,Denver Nuggets,112,Box Score,,"10,027",
"Fri, Oct 10, 1980",Washington Bullets,95,Detroit Pistons,85,Box Score,,"9,129",
"Fri, Oct 10, 1980",Indiana Pacers,110,New Jersey Nets,91,Box Score,,"6,661",
"Fri, Oct 10, 1980",Milwaukee Bucks,106,Philadelphia 76ers,103,Box Score,,"15,136",
"Fri, Oct 10, 1980",Golden State Warriors,101,Phoenix Suns,121,Box Score,,"11,590",
"Fri, Oct 10, 1980",Houston Rockets,104,San Diego Clippers,120,Box Score,,"5,623",
"Fri, Oct 10, 1980",Los Angeles Lakers,99,Seattle SuperSonics,98,Box Score,,"35,233",
"Fri, Oct 10, 1980",Portland Trail Blazers,86,Utah Jazz,96,Box Score,,"8,150",
"Sat, Oct 11, 1980",Chicago Bulls,93,Atlanta Hawks,101,Box Score,,"11,275",
"Sat, Oct 11, 1980",New Jersey Nets,99,Cleveland Cavaliers,96,Box Score,,"5,731",
"Sat, Oct 11, 1980",San Antonio Spurs,92,Dallas Mavericks,103,Box Score,,"10,373",
"Sat, Oct 11, 1980",San Diego Clippers,91,Golden State Warriors,104,Box Score,,"8,024",
"Sat, Oct 11, 1980",Detroit Pistons,87,Indiana Pacers,100,Box Score,,"9,756",
"Sat, Oct 11, 1980",Utah Jazz,91,Kansas City Kings,98,Box Score,,"7,342",
"Sat, Oct 11, 1980",Milwaukee Bucks,109,New York Knicks,114,Box Score,,"17,229",
"Sat, Oct 11, 1980",Philadelphia 76ers,126,Washington Bullets,120,Box Score,2OT,"16,208",
"Sun, Oct 12, 1980",Utah Jazz,125,Denver Nuggets,121,Box Score,OT,"8,401",
"Sun, Oct 12, 1980",Houston Rockets,103,Los Angeles Lakers,114,Box Score,,"11,142",
"Sun, Oct 12, 1980",Kansas City Kings,100,Phoenix Suns,109,Box Score,,"10,131",
"Sun, Oct 12, 1980",Seattle SuperSonics,96,Portland Trail Blazers,107,Box Score,,"12,666",
"Mon, Oct 13, 1980",Detroit Pistons,92,New Jersey Nets,108,Box Score,,"5,307",
"Tue, Oct 14, 1980",Boston Celtics,116,Atlanta Hawks,122,Box Score,,"8,091",
"Tue, Oct 14, 1980",Detroit Pistons,91,Cleveland Cavaliers,99,Box Score,,"4,071",
"Tue, Oct 14, 1980",Seattle SuperSonics,85,Dallas Mavericks,83,Box Score,,"7,004",
"Tue, Oct 14, 1980",Philadelphia 76ers,93,New York Knicks,113,Box Score,,"13,514",
"Tue, Oct 14, 1980",Kansas City Kings,103,San Antonio Spurs,109,Box Score,,"9,876",
"Wed, Oct 15, 1980",Dallas Mavericks,98,Denver Nuggets,133,Box Score,,"6,658",
"Wed, Oct 15, 1980",Portland Trail Blazers,92,Golden State Warriors,95,Box Score,,"6,855",
"Wed, Oct 15, 1980",Seattle SuperSonics,100,Houston Rockets,103,Box Score,,"6,127",
"Wed, Oct 15, 1980",Chicago Bulls,108,Indiana Pacers,97,Box Score,,"6,909",
"Wed, Oct 15, 1980",Los Angeles Lakers,112,Kansas City Kings,107,Box Score,OT,"5,753",
"Wed, Oct 15, 1980",Philadelphia 76ers,119,New Jersey Nets,111,Box Score,,"6,127",
"Wed, Oct 15, 1980",Phoenix Suns,107,Utah Jazz,93,Box Score,,"6,300",
"Thu, Oct 16, 1980",Washington Bullets,88,Cleveland Cavaliers,90,Box Score,,"4,046",
"Thu, Oct 16, 1980",San Antonio Spurs,102,Detroit Pistons,99,Box Score,,"4,569",
"Thu, Oct 16, 1980",Boston Celtics,110,Milwaukee Bucks,103,Box Score,,"11,052",
"Fri, Oct 17, 1980",New York Knicks,101,Atlanta Hawks,113,Box Score,,"9,496",
"Fri, Oct 17, 1980",Cleveland Cavaliers,79,Chicago Bulls,98,Box Score,,"8,336",
"Fri, Oct 17, 1980",Kansas City Kings,103,Dallas Mavericks,91,Box Score,,"7,017",
"Fri, Oct 17, 1980",Phoenix Suns,109,Los Angeles Lakers,116,Box Score,,"10,411",
"Fri, Oct 17, 1980",Houston Rockets,102,Portland Trail Blazers,99,Box Score,,"12,666",
"Fri, Oct 17, 1980",Denver Nuggets,129,San Diego Clippers,116,Box Score,,"4,032",
"Fri, Oct 17, 1980",New Jersey Nets,114,Washington Bullets,112,Box Score,,"6,711",
"Sat, Oct 18, 1980",New Jersey Nets,107,Chicago Bulls,90,Box Score,,"8,539",
