Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Wed, Feb 1, 1984",Chicago Bulls,103,Atlanta Hawks,116,Box Score,,"8,013",
"Wed, Feb 1, 1984",Kansas City Kings,110,Boston Celtics,119,Box Score,,"14,890",
"Wed, Feb 1, 1984",New York Knicks,105,Dallas Mavericks,98,Box Score,,"14,209",
"Wed, Feb 1, 1984",Los Angeles Lakers,116,Denver Nuggets,108,Box Score,,"14,009",
"Wed, Feb 1, 1984",San Diego Clippers,106,New Jersey Nets,111,Box Score,,"9,343",
"Wed, Feb 1, 1984",Indiana Pacers,103,Philadelphia 76ers,111,Box Score,,"11,221",
"Wed, Feb 1, 1984",Portland Trail Blazers,106,Phoenix Suns,109,Box Score,,"10,652",
"Wed, Feb 1, 1984",Milwaukee Bucks,98,Seattle SuperSonics,99,Box Score,,,
"Thu, Feb 2, 1984",San Antonio Spurs,107,Golden State Warriors,117,Box Score,,"5,802",
"Thu, Feb 2, 1984",Dallas Mavericks,107,Houston Rockets,123,Box Score,,"1,345",
"Thu, Feb 2, 1984",Phoenix Suns,95,Utah Jazz,116,Box Score,,"8,892",
"Thu, Feb 2, 1984",Detroit Pistons,139,Washington Bullets,129,Box Score,,"6,751",
"Fri, Feb 3, 1984",Indiana Pacers,106,Boston Celtics,125,Box Score,,"14,890",
"Fri, Feb 3, 1984",Chicago Bulls,76,Cleveland Cavaliers,106,Box Score,,"3,438",
"Fri, Feb 3, 1984",Denver Nuggets,114,Dallas Mavericks,111,Box Score,,"15,292",
"Fri, Feb 3, 1984",San Diego Clippers,111,Detroit Pistons,126,Box Score,,"13,492",
"Fri, Feb 3, 1984",Utah Jazz,105,Los Angeles Lakers,109,Box Score,,"17,505",
"Fri, Feb 3, 1984",Kansas City Kings,114,New Jersey Nets,112,Box Score,,"12,873",
"Fri, Feb 3, 1984",Atlanta Hawks,99,Philadelphia 76ers,88,Box Score,,"14,241",
"Fri, Feb 3, 1984",Milwaukee Bucks,110,Portland Trail Blazers,116,Box Score,,"12,666",
"Fri, Feb 3, 1984",San Antonio Spurs,106,Seattle SuperSonics,121,Box Score,,"9,590",
"Sat, Feb 4, 1984",Philadelphia 76ers,97,Atlanta Hawks,102,Box Score,,"16,021",
"Sat, Feb 4, 1984",New Jersey Nets,108,Chicago Bulls,105,Box Score,,"5,241",
"Sat, Feb 4, 1984",San Diego Clippers,100,Cleveland Cavaliers,108,Box Score,,"4,278",
"Sat, Feb 4, 1984",Phoenix Suns,104,Golden State Warriors,107,Box Score,,"10,278",
"Sat, Feb 4, 1984",New York Knicks,103,Houston Rockets,95,Box Score,,"14,630",
"Sat, Feb 4, 1984",Denver Nuggets,100,Kansas City Kings,107,Box Score,,"9,053",
"Sat, Feb 4, 1984",Milwaukee Bucks,102,Utah Jazz,116,Box Score,,"12,690",
"Sat, Feb 4, 1984",Indiana Pacers,101,Washington Bullets,125,Box Score,,"6,604",
"Sun, Feb 5, 1984",Detroit Pistons,134,Boston Celtics,137,Box Score,OT,"14,890",
"Sun, Feb 5, 1984",Phoenix Suns,82,Portland Trail Blazers,97,Box Score,,"12,666",
"Sun, Feb 5, 1984",Los Angeles Lakers,110,San Antonio Spurs,98,Box Score,,"10,414",
"Sun, Feb 5, 1984",Dallas Mavericks,96,Seattle SuperSonics,104,Box Score,,"8,483",
"Mon, Feb 6, 1984",Boston Celtics,112,New Jersey Nets,115,Box Score,,"14,808",
"Mon, Feb 6, 1984",Golden State Warriors,94,New York Knicks,116,Box Score,,"9,868",
"Tue, Feb 7, 1984",New Jersey Nets,102,Atlanta Hawks,109,Box Score,,"7,752",
"Tue, Feb 7, 1984",Philadelphia 76ers,89,Chicago Bulls,104,Box Score,,"12,976",
"Tue, Feb 7, 1984",Cleveland Cavaliers,99,Detroit Pistons,130,Box Score,,"8,332",
"Tue, Feb 7, 1984",Los Angeles Lakers,106,Indiana Pacers,105,Box Score,,"14,636",
"Tue, Feb 7, 1984",Milwaukee Bucks,112,Kansas City Kings,110,Box Score,OT,"6,141",
"Tue, Feb 7, 1984",San Antonio Spurs,131,Phoenix Suns,138,Box Score,,"9,323",
"Tue, Feb 7, 1984",Dallas Mavericks,85,Portland Trail Blazers,101,Box Score,,"12,666",
"Tue, Feb 7, 1984",Denver Nuggets,105,Seattle SuperSonics,115,Box Score,,"8,070",
"Tue, Feb 7, 1984",San Diego Clippers,109,Utah Jazz,103,Box Score,,"7,015","at Las Vegas, NV"
"Tue, Feb 7, 1984",Houston Rockets,92,Washington Bullets,95,Box Score,,"12,305",
"Wed, Feb 8, 1984",Los Angeles Lakers,111,Boston Celtics,109,Box Score,,"14,890",
"Wed, Feb 8, 1984",Golden State Warriors,108,Cleveland Cavaliers,119,Box Score,,"2,675",
"Wed, Feb 8, 1984",Dallas Mavericks,120,Denver Nuggets,114,Box Score,,"8,441",
"Wed, Feb 8, 1984",New York Knicks,103,Milwaukee Bucks,113,Box Score,,"9,485",
"Wed, Feb 8, 1984",Chicago Bulls,114,New Jersey Nets,110,Box Score,OT,"9,021",
"Wed, Feb 8, 1984",Houston Rockets,107,Philadelphia 76ers,118,Box Score,,"14,536",
"Wed, Feb 8, 1984",Kansas City Kings,118,San Antonio Spurs,110,Box Score,,"7,137",
"Wed, Feb 8, 1984",Portland Trail Blazers,114,San Diego Clippers,105,Box Score,,"4,269",
"Thu, Feb 9, 1984",Seattle SuperSonics,102,Indiana Pacers,107,Box Score,,"7,796",
"Thu, Feb 9, 1984",Atlanta Hawks,105,Phoenix Suns,118,Box Score,,"9,877",
"Fri, Feb 10, 1984",Houston Rockets,101,Boston Celtics,114,Box Score,,"14,890",
"Fri, Feb 10, 1984",Seattle SuperSonics,90,Cleveland Cavaliers,95,Box Score,,"3,543",
"Fri, Feb 10, 1984",Kansas City Kings,96,Dallas Mavericks,115,Box Score,,"13,854",
