"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1984-01-01","","Philadelphia 76ers",115,"Portland Trail Blazers",103,12666,""
"1984-01-02","","Atlanta Hawks",86,"Indiana Pacers",96,6641,""
"1984-01-03","","Phoenix Suns",97,"Chicago Bulls",102,5112,""
"1984-01-03","","Seattle SuperSonics",110,"Denver Nuggets",109,8802,""
"1984-01-03","","Philadelphia 76ers",106,"Golden State Warriors",115,13335,""
"1984-01-03","","Dallas Mavericks",119,"Houston Rockets",117,9174,""
"1984-01-03","","Cleveland Cavaliers",92,"Milwaukee Bucks",104,8910,""
"1984-01-03","","Boston Celtics",105,"New Jersey Nets",103,13478,""
"1984-01-03","","Los Angeles Lakers",105,"New York Knicks",117,16886,""
"1984-01-03","","Kansas City Kings",104,"Portland Trail Blazers",123,12666,""
"1984-01-03","","Utah Jazz",124,"San Antonio Spurs",137,7830,""
"1984-01-03","","Detroit Pistons",102,"Washington Bullets",103,5112,""
"1984-01-04","","New Jersey Nets",91,"Atlanta Hawks",88,4289,""
"1984-01-04","","Washington Bullets",104,"Boston Celtics",113,14890,""
"1984-01-04","","Los Angeles Lakers",106,"Cleveland Cavaliers",99,8027,""
"1984-01-04","","Seattle SuperSonics",102,"Dallas Mavericks",105,11315,""
"1984-01-04","","Phoenix Suns",114,"Detroit Pistons",128,7577,""
"1984-01-04","","Chicago Bulls",89,"Indiana Pacers",102,6028,""
"1984-01-04","","Kansas City Kings",121,"San Diego Clippers",122,3552,""
"1984-01-04","","Houston Rockets",111,"Utah Jazz",116,8190,"at Las Vegas, NV"
"1984-01-05","","Philadelphia 76ers",103,"Milwaukee Bucks",102,11052,""
"1984-01-06","","Milwaukee Bucks",87,"Atlanta Hawks",91,6478,""
"1984-01-06","","Cleveland Cavaliers",97,"Boston Celtics",115,14890,""
"1984-01-06","","New York Knicks",107,"Detroit Pistons",118,10341,""
"1984-01-06","","Phoenix Suns",88,"Indiana Pacers",104,9118,""
"1984-01-06","","San Antonio Spurs",124,"Los Angeles Lakers",117,17505,""
"1984-01-06","","New Jersey Nets",104,"Philadelphia 76ers",108,17921,""
"1984-01-06","","Denver Nuggets",129,"Portland Trail Blazers",144,12666,""
