Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Fri, Mar 1, 1985",Atlanta Hawks,114,Boston Celtics,105,Box Score,,"14,890",
"Fri, Mar 1, 1985",New York Knicks,104,Chicago Bulls,109,Box Score,,"12,681",
"Fri, Mar 1, 1985",Denver Nuggets,141,Dallas Mavericks,140,Box Score,OT,"17,007",
"Fri, Mar 1, 1985",San Antonio Spurs,108,Detroit Pistons,98,Box Score,,"17,470",
"Fri, Mar 1, 1985",Cleveland Cavaliers,111,Portland Trail Blazers,103,Box Score,,"12,666",
"Fri, Mar 1, 1985",Houston Rockets,119,Utah Jazz,115,Box Score,,"15,298",
"Fri, Mar 1, 1985",New Jersey Nets,100,Washington Bullets,98,Box Score,,"7,423",
"Sat, Mar 2, 1985",San Antonio Spurs,105,Atlanta Hawks,92,Box Score,,,
"Sat, Mar 2, 1985",Los Angeles Lakers,125,Dallas Mavericks,106,Box Score,,"17,007",
"Sat, Mar 2, 1985",Milwaukee Bucks,122,Denver Nuggets,123,Box Score,,"17,022",
"Sat, Mar 2, 1985",Los Angeles Clippers,102,Golden State Warriors,108,Box Score,,"7,403",
"Sat, Mar 2, 1985",Seattle SuperSonics,106,Indiana Pacers,92,Box Score,,"8,004",
"Sat, Mar 2, 1985",Washington Bullets,109,New York Knicks,97,Box Score,,"10,169",
"Sat, Mar 2, 1985",Kansas City Kings,111,Phoenix Suns,114,Box Score,,"14,502",
"Sun, Mar 3, 1985",Detroit Pistons,129,Boston Celtics,138,Box Score,,"14,890",
"Sun, Mar 3, 1985",New Jersey Nets,117,Chicago Bulls,113,Box Score,,"9,363",
"Sun, Mar 3, 1985",Philadelphia 76ers,90,Houston Rockets,99,Box Score,,"16,016",
"Sun, Mar 3, 1985",Kansas City Kings,126,Los Angeles Clippers,122,Box Score,OT,"7,374",
"Sun, Mar 3, 1985",Utah Jazz,93,Portland Trail Blazers,121,Box Score,,"12,666",
"Mon, Mar 4, 1985",Cleveland Cavaliers,108,Golden State Warriors,104,Box Score,,"5,048",
"Mon, Mar 4, 1985",Dallas Mavericks,107,Phoenix Suns,99,Box Score,,"11,255",
"Mon, Mar 4, 1985",Philadelphia 76ers,103,San Antonio Spurs,109,Box Score,,,
"Tue, Mar 5, 1985",Portland Trail Blazers,100,Atlanta Hawks,91,Box Score,,"2,822","at New Orleans, LA"
"Tue, Mar 5, 1985",Washington Bullets,99,Chicago Bulls,104,Box Score,,"5,629",
"Tue, Mar 5, 1985",Indiana Pacers,102,Dallas Mavericks,108,Box Score,,"16,481",
"Tue, Mar 5, 1985",Houston Rockets,131,Denver Nuggets,133,Box Score,2OT,"17,022",
"Tue, Mar 5, 1985",New Jersey Nets,113,Kansas City Kings,134,Box Score,,"3,558",
"Tue, Mar 5, 1985",Seattle SuperSonics,87,Milwaukee Bucks,102,Box Score,,"10,897",
"Tue, Mar 5, 1985",Boston Celtics,110,New York Knicks,102,Box Score,,"14,243",
"Wed, Mar 6, 1985",Chicago Bulls,107,Boston Celtics,104,Box Score,,"14,890",
"Wed, Mar 6, 1985",New York Knicks,90,Detroit Pistons,114,Box Score,,"15,283",
"Wed, Mar 6, 1985",Utah Jazz,94,Houston Rockets,90,Box Score,,"11,741",
"Wed, Mar 6, 1985",Cleveland Cavaliers,114,Los Angeles Clippers,112,Box Score,,"7,145",
"Wed, Mar 6, 1985",Golden State Warriors,119,Los Angeles Lakers,145,Box Score,,"13,571",
"Wed, Mar 6, 1985",Seattle SuperSonics,108,New Jersey Nets,129,Box Score,,"9,840",
"Wed, Mar 6, 1985",Atlanta Hawks,86,Philadelphia 76ers,96,Box Score,,"11,595",
"Wed, Mar 6, 1985",Indiana Pacers,102,San Antonio Spurs,108,Box Score,,"6,486",
"Wed, Mar 6, 1985",Portland Trail Blazers,121,Washington Bullets,127,Box Score,2OT,"5,228",
"Thu, Mar 7, 1985",Utah Jazz,122,Detroit Pistons,114,Box Score,,"15,714",
"Thu, Mar 7, 1985",Denver Nuggets,140,Kansas City Kings,142,Box Score,,"3,575",
"Thu, Mar 7, 1985",San Antonio Spurs,117,Phoenix Suns,119,Box Score,,"11,450",
"Fri, Mar 8, 1985",Dallas Mavericks,122,Boston Celtics,133,Box Score,,"14,890",
"Fri, Mar 8, 1985",Los Angeles Clippers,101,Chicago Bulls,117,Box Score,,"7,626",
"Fri, Mar 8, 1985",Indiana Pacers,105,Houston Rockets,125,Box Score,,"12,066",
"Fri, Mar 8, 1985",Kansas City Kings,114,Milwaukee Bucks,127,Box Score,,"11,052",
"Fri, Mar 8, 1985",Portland Trail Blazers,128,New Jersey Nets,110,Box Score,,"10,158",
"Fri, Mar 8, 1985",Seattle SuperSonics,114,Philadelphia 76ers,128,Box Score,,"15,071",
"Sat, Mar 9, 1985",Detroit Pistons,115,Atlanta Hawks,113,Box Score,,"7,757",
"Sat, Mar 9, 1985",Utah Jazz,111,Chicago Bulls,105,Box Score,,"12,288",
"Sat, Mar 9, 1985",Indiana Pacers,116,Denver Nuggets,126,Box Score,,"15,083",
"Sat, Mar 9, 1985",Cleveland Cavaliers,106,Los Angeles Lakers,133,Box Score,,"17,505",
"Sat, Mar 9, 1985",Philadelphia 76ers,129,New York Knicks,131,Box Score,2OT,"14,536",
"Sat, Mar 9, 1985",Golden State Warriors,118,Phoenix Suns,115,Box Score,,"12,730",
"Sat, Mar 9, 1985",Houston Rockets,123,San Antonio Spurs,117,Box Score,,"14,722",
"Sat, Mar 9, 1985",Seattle SuperSonics,93,Washington Bullets,92,Box Score,,"8,967",
"Sun, Mar 10, 1985",Los Angeles Clippers,111,Kansas City Kings,129,Box Score,,"4,367",
"Sun, Mar 10, 1985",Portland Trail Blazers,94,Milwaukee Bucks,110,Box Score,,"10,108",
"Sun, Mar 10, 1985",Dallas Mavericks,126,New Jersey Nets,113,Box Score,,"13,009",
"Mon, Mar 11, 1985",Milwaukee Bucks,121,Atlanta Hawks,115,Box Score,,"6,612",
"Mon, Mar 11, 1985",Indiana Pacers,110,Cleveland Cavaliers,122,Box Score,,"7,618",
"Mon, Mar 11, 1985",Seattle SuperSonics,100,Dallas Mavericks,103,Box Score,,"16,794",
"Mon, Mar 11, 1985",Los Angeles Clippers,114,Detroit Pistons,121,Box Score,,"10,281",
"Mon, Mar 11, 1985",Chicago Bulls,112,Washington Bullets,119,Box Score,,"11,262",
"Tue, Mar 12, 1985",Boston Celtics,126,Atlanta Hawks,115,Box Score,,"10,079","at New Orleans, LA"
"Tue, Mar 12, 1985",Detroit Pistons,110,Chicago Bulls,111,Box Score,,"13,227",
