"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1987-04-01","","Washington Bullets",86,"Boston Celtics",103,14890,""
"1987-04-01","","Chicago Bulls",94,"Indiana Pacers",99,16912,""
"1987-04-01","","Atlanta Hawks",92,"Milwaukee Bucks",104,11852,""
"1987-04-01","","Cleveland Cavaliers",99,"Philadelphia 76ers",108,13081,""
"1987-04-01","","Houston Rockets",104,"Phoenix Suns",117,11122,""
"1987-04-01","","Utah Jazz",107,"San Antonio Spurs",104,7745,""
"1987-04-01","19:40","New York Knicks",120,"New Jersey Nets",121,10292,""
"1987-04-02","","Golden State Warriors",96,"Denver Nuggets",132,8871,""
"1987-04-02","","Indiana Pacers",73,"Detroit Pistons",119,25778,""
"1987-04-02","","Sacramento Kings",125,"Los Angeles Clippers",115,6719,""
"1987-04-02","","Los Angeles Lakers",117,"Seattle SuperSonics",114,14739,""
"1987-04-03","","New York Knicks",89,"Atlanta Hawks",126,13766,""
"1987-04-03","","Detroit Pistons",115,"Boston Celtics",119,14890,""
"1987-04-03","","Golden State Warriors",116,"Dallas Mavericks",136,17007,""
"1987-04-03","","Utah Jazz",98,"Phoenix Suns",112,10326,""
"1987-04-03","","Los Angeles Lakers",127,"Portland Trail Blazers",121,12666,""
"1987-04-03","","Denver Nuggets",116,"San Antonio Spurs",106,6469,""
"1987-04-03","","Chicago Bulls",118,"Washington Bullets",122,19411,""
"1987-04-03","20:09","Philadelphia 76ers",109,"New Jersey Nets",113,20149,""
"1987-04-04","","Chicago Bulls",97,"Atlanta Hawks",110,16522,""
"1987-04-04","","Washington Bullets",127,"Cleveland Cavaliers",111,9256,""
"1987-04-04","","Utah Jazz",107,"Dallas Mavericks",121,17007,""
"1987-04-04","","Phoenix Suns",128,"Los Angeles Clippers",123,8305,""
"1987-04-04","","New Jersey Nets",102,"Milwaukee Bucks",112,11052,""
"1987-04-04","","Indiana Pacers",108,"New York Knicks",112,10518,""
"1987-04-04","","Houston Rockets",108,"Sacramento Kings",120,10333,""
"1987-04-04","","Portland Trail Blazers",126,"Seattle SuperSonics",123,12227,""
"1987-04-05","","Los Angeles Lakers",126,"Denver Nuggets",118,17022,""
"1987-04-05","","Milwaukee Bucks",107,"Detroit Pistons",125,37712,""
"1987-04-05","","Boston Celtics",104,"Philadelphia 76ers",106,17967,""
"1987-04-05","","Golden State Warriors",120,"San Antonio Spurs",119,5838,""
"1987-04-06","","Cleveland Cavaliers",105,"Atlanta Hawks",110,8459,""
"1987-04-06","","Los Angeles Clippers",112,"Los Angeles Lakers",135,14777,""
"1987-04-06","","Philadelphia 76ers",101,"New York Knicks",108,17146,""
"1987-04-06","","Dallas Mavericks",110,"Phoenix Suns",118,9752,""
"1987-04-06","","Houston Rockets",114,"Portland Trail Blazers",108,12666,""
"1987-04-06","","Sacramento Kings",110,"Utah Jazz",104,12212,""
"1987-04-07","","Detroit Pistons",86,"Chicago Bulls",116,15172,""
"1987-04-07","","Boston Celtics",83,"Cleveland Cavaliers",107,19007,""
"1987-04-07","","Denver Nuggets",129,"Golden State Warriors",126,6666,""
"1987-04-07","","New Jersey Nets",114,"Indiana Pacers",128,12651,""
"1987-04-07","","Houston Rockets",102,"Los Angeles Clippers",84,6732,""
"1987-04-07","","Phoenix Suns",127,"Seattle SuperSonics",125,6585,""
"1987-04-07","","Milwaukee Bucks",95,"Washington Bullets",94,7866,""
"1987-04-08","","Philadelphia 76ers",92,"Atlanta Hawks",110,16522,""
"1987-04-08","","Sacramento Kings",111,"San Antonio Spurs",110,5276,""
"1987-04-08","","Dallas Mavericks",90,"Utah Jazz",103,12212,""
"1987-04-08","19:40","Washington Bullets",118,"New Jersey Nets",109,11829,""
"1987-04-09","","Indiana Pacers",99,"Cleveland Cavaliers",111,6843,""
"1987-04-09","","Dallas Mavericks",125,"Golden State Warriors",100,10106,""
"1987-04-09","","Sacramento Kings",102,"Houston Rockets",112,16279,""
"1987-04-09","","Los Angeles Lakers",118,"Los Angeles Clippers",100,13801,""
"1987-04-09","","Portland Trail Blazers",122,"Phoenix Suns",128,9438,""
"1987-04-10","","Detroit Pistons",99,"Atlanta Hawks",101,15905,""
"1987-04-10","","San Antonio Spurs",121,"Los Angeles Lakers",131,17505,""
"1987-04-10","","Milwaukee Bucks",132,"New York Knicks",93,15852,""
"1987-04-10","","Chicago Bulls",96,"Philadelphia 76ers",98,17967,""
"1987-04-10","","Seattle SuperSonics",115,"Portland Trail Blazers",121,12666,""
"1987-04-10","","Denver Nuggets",103,"Utah Jazz",106,12212,""
"1987-04-10","","Indiana Pacers",115,"Washington Bullets",101,9227,""
"1987-04-10","19:43","Boston Celtics",108,"New Jersey Nets",117,18969,""
"1987-04-11","","Denver Nuggets",103,"Houston Rockets",113,16279,""
"1987-04-11","","Dallas Mavericks",129,"Los Angeles Clippers",100,6120,""
"1987-04-11","","Cleveland Cavaliers",93,"Milwaukee Bucks",121,11052,""
"1987-04-11","","San Antonio Spurs",116,"Phoenix Suns",136,10595,""
"1987-04-11","","Golden State Warriors",124,"Sacramento Kings",118,10333,""
"1987-04-12","","New York Knicks",107,"Boston Celtics",119,14890,""
"1987-04-12","","Indiana Pacers",95,"Chicago Bulls",116,17219,""
"1987-04-12","","Utah Jazz",109,"Golden State Warriors",107,7992,""
"1987-04-12","","Phoenix Suns",104,"Los Angeles Lakers",119,17505,""
"1987-04-12","","Los Angeles Clippers",100,"Portland Trail Blazers",113,12666,""
"1987-04-12","","Detroit Pistons",98,"Washington Bullets",103,13652,""
"1987-04-12","13:10","Atlanta Hawks",115,"New Jersey Nets",88,13311,""
"1987-04-13","","Atlanta Hawks",102,"Indiana Pacers",101,11170,""
"1987-04-13","","Chicago Bulls",114,"Milwaukee Bucks",107,11052,""
"1987-04-13","","Detroit Pistons",120,"New York Knicks",100,9625,""
"1987-04-13","","Washington Bullets",105,"Philadelphia 76ers",113,13857,""
"1987-04-13","","San Antonio Spurs",118,"Sacramento Kings",123,10333,""
"1987-04-14","","New Jersey Nets",95,"Cleveland Cavaliers",113,8820,""
