Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Fri, Jan 1, 1988",Los Angeles Clippers,96,New York Knicks,115,Box Score,,"11,820",
"Fri, Jan 1, 1988",Philadelphia 76ers,125,Portland Trail Blazers,127,Box Score,,"12,666",
"Fri, Jan 1, 1988",Denver Nuggets,124,Washington Bullets,109,Box Score,,"5,326",
"Sat, Jan 2, 1988",New Jersey Nets,93,Chicago Bulls,116,Box Score,,"18,242",
"Sat, Jan 2, 1988",Phoenix Suns,107,Cleveland Cavaliers,120,Box Score,,"9,106",
"Sat, Jan 2, 1988",Denver Nuggets,151,Detroit Pistons,142,Box Score,,"23,746",
"Sat, Jan 2, 1988",Boston Celtics,115,Golden State Warriors,110,Box Score,,"15,025",
"Sat, Jan 2, 1988",Indiana Pacers,99,Milwaukee Bucks,97,Box Score,,"11,052",
"Sat, Jan 2, 1988",Utah Jazz,105,Sacramento Kings,107,Box Score,,"10,333",
"Sat, Jan 2, 1988",Dallas Mavericks,116,San Antonio Spurs,109,Box Score,,"12,426",
"Sat, Jan 2, 1988",Philadelphia 76ers,114,Seattle SuperSonics,116,Box Score,,"14,250",
"Sat, Jan 2, 1988",Houston Rockets,111,Washington Bullets,100,Box Score,,"12,769",
"Sun, Jan 3, 1988",Los Angeles Clippers,84,Atlanta Hawks,121,Box Score,,"9,456",
"Sun, Jan 3, 1988",Los Angeles Lakers,98,Portland Trail Blazers,81,Box Score,,"12,666",
"Mon, Jan 4, 1988",Denver Nuggets,101,Cleveland Cavaliers,122,Box Score,,"6,448",
"Mon, Jan 4, 1988",Dallas Mavericks,107,Houston Rockets,117,Box Score,,"16,611",
"Mon, Jan 4, 1988",San Antonio Spurs,115,Los Angeles Lakers,133,Box Score,,"17,505",
"Mon, Jan 4, 1988",Phoenix Suns,114,Philadelphia 76ers,122,Box Score,,"7,851",
"Mon, Jan 4, 1988",Boston Celtics,107,Utah Jazz,99,Box Score,,"12,212",
"Tue, Jan 5, 1988",Detroit Pistons,71,Atlanta Hawks,81,Box Score,,"16,451",
"Tue, Jan 5, 1988",Indiana Pacers,77,Chicago Bulls,93,Box Score,,"17,691",
"Tue, Jan 5, 1988",San Antonio Spurs,119,Golden State Warriors,129,Box Score,,"8,981",
"Tue, Jan 5, 1988",Los Angeles Clippers,82,Milwaukee Bucks,98,Box Score,,"11,062",
"Tue, Jan 5, 1988",Phoenix Suns,100,New York Knicks,95,Box Score,,"11,003",
"Tue, Jan 5, 1988",Seattle SuperSonics,114,Portland Trail Blazers,126,Box Score,,"12,666",
"Tue, Jan 5, 1988",New Jersey Nets,97,Washington Bullets,101,Box Score,,"6,173",
"Wed, Jan 6, 1988",New York Knicks,108,Boston Celtics,117,Box Score,,"14,890",
"Wed, Jan 6, 1988",Los Angeles Clippers,100,Cleveland Cavaliers,116,Box Score,,"7,017",
"Wed, Jan 6, 1988",Atlanta Hawks,87,Detroit Pistons,90,Box Score,,"25,749",
"Wed, Jan 6, 1988",Dallas Mavericks,89,Los Angeles Lakers,103,Box Score,,"17,505",
"Wed, Jan 6, 1988",Denver Nuggets,98,New Jersey Nets,93,Box Score,,"7,804",
"Wed, Jan 6, 1988",Utah Jazz,93,Philadelphia 76ers,116,Box Score,,"10,486",
"Wed, Jan 6, 1988",Houston Rockets,95,Seattle SuperSonics,110,Box Score,,"11,289",
"Thu, Jan 7, 1988",Denver Nuggets,96,Chicago Bulls,100,Box Score,,"17,590",
"Thu, Jan 7, 1988",Houston Rockets,120,Golden State Warriors,113,Box Score,,"15,025",
"Thu, Jan 7, 1988",Milwaukee Bucks,108,Indiana Pacers,114,Box Score,,"10,263",
"Thu, Jan 7, 1988",Dallas Mavericks,105,Phoenix Suns,91,Box Score,,"11,473",
"Thu, Jan 7, 1988",San Antonio Spurs,124,Sacramento Kings,119,Box Score,,"10,333",
"Fri, Jan 8, 1988",Cleveland Cavaliers,97,Atlanta Hawks,101,Box Score,,"11,408",
"Fri, Jan 8, 1988",Washington Bullets,109,Boston Celtics,125,Box Score,,"14,890",
"Fri, Jan 8, 1988",Los Angeles Lakers,106,Detroit Pistons,104,Box Score,,"40,278",
"Fri, Jan 8, 1988",Utah Jazz,111,Milwaukee Bucks,107,Box Score,,"11,052",
"Fri, Jan 8, 1988",New York Knicks,111,New Jersey Nets,118,Box Score,,"11,025",
"Fri, Jan 8, 1988",Los Angeles Clippers,103,Philadelphia 76ers,117,Box Score,,"8,045",
"Fri, Jan 8, 1988",Sacramento Kings,91,Portland Trail Blazers,98,Box Score,,"12,666",
"Sat, Jan 9, 1988",Denver Nuggets,105,Atlanta Hawks,113,Box Score,,"14,986",
"Sat, Jan 9, 1988",Utah Jazz,91,Chicago Bulls,113,Box Score,,"17,877",
"Sat, Jan 9, 1988",Dallas Mavericks,115,Golden State Warriors,99,Box Score,,"12,907",
"Sat, Jan 9, 1988",Phoenix Suns,98,Houston Rockets,104,Box Score,,"16,611",
"Sat, Jan 9, 1988",Los Angeles Lakers,101,Indiana Pacers,98,Box Score,,"16,912",
"Sat, Jan 9, 1988",Boston Celtics,98,New York Knicks,106,Box Score,,"19,591",
"Sat, Jan 9, 1988",Cleveland Cavaliers,110,Philadelphia 76ers,126,Box Score,,"10,676",
"Sat, Jan 9, 1988",San Antonio Spurs,133,Seattle SuperSonics,141,Box Score,,"11,565",
"Sat, Jan 9, 1988",Los Angeles Clippers,76,Washington Bullets,108,Box Score,,"6,213",
"Sun, Jan 10, 1988",New Jersey Nets,87,Milwaukee Bucks,105,Box Score,,"11,052",
"Sun, Jan 10, 1988",Seattle SuperSonics,108,Sacramento Kings,109,Box Score,,"10,333",
"Mon, Jan 11, 1988",Los Angeles Clippers,90,Indiana Pacers,111,Box Score,,"7,230",
"Mon, Jan 11, 1988",Denver Nuggets,115,Phoenix Suns,127,Box Score,,"9,802",
"Tue, Jan 12, 1988",Boston Celtics,104,Chicago Bulls,97,Box Score,,"18,676",
"Tue, Jan 12, 1988",New York Knicks,111,Cleveland Cavaliers,119,Box Score,,"7,487",
"Tue, Jan 12, 1988",Golden State Warriors,113,Los Angeles Lakers,117,Box Score,,"17,505",
"Tue, Jan 12, 1988",Philadelphia 76ers,103,Milwaukee Bucks,106,Box Score,,"11,052",
"Wed, Jan 13, 1988",Detroit Pistons,105,Boston Celtics,143,Box Score,,"14,890",
"Wed, Jan 13, 1988",Indiana Pacers,108,Dallas Mavericks,110,Box Score,,"17,007",
"Wed, Jan 13, 1988",Los Angeles Lakers,109,Los Angeles Clippers,110,Box Score,OT,"14,906",
"Wed, Jan 13, 1988",New Jersey Nets,95,Philadelphia 76ers,104,Box Score,,"8,216",
"Wed, Jan 13, 1988",Houston Rockets,106,Phoenix Suns,117,Box Score,,"10,114",
"Wed, Jan 13, 1988",Atlanta Hawks,120,San Antonio Spurs,110,Box Score,,"10,183",
"Wed, Jan 13, 1988",Golden State Warriors,115,Seattle SuperSonics,144,Box Score,,"7,909",
"Wed, Jan 13, 1988",Portland Trail Blazers,104,Utah Jazz,116,Box Score,,"12,212",
"Thu, Jan 14, 1988",Chicago Bulls,88,Cleveland Cavaliers,91,Box Score,OT,"16,648",
"Thu, Jan 14, 1988",Atlanta Hawks,112,Denver Nuggets,115,Box Score,,"14,944",
