"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1988-03-01","","Detroit Pistons",117,"Atlanta Hawks",104,16451,""
"1988-03-01","","Boston Celtics",116,"Milwaukee Bucks",117,11052,""
"1988-03-01","","Los Angeles Clippers",75,"New Jersey Nets",104,8036,""
"1988-03-01","","Indiana Pacers",96,"New York Knicks",98,10172,""
"1988-03-01","","Phoenix Suns",109,"San Antonio Spurs",114,5151,""
"1988-03-01","","Los Angeles Lakers",100,"Seattle SuperSonics",114,14850,""
"1988-03-01","","Houston Rockets",112,"Utah Jazz",113,12444,""
"1988-03-02","","New Jersey Nets",117,"Boston Celtics",107,14890,""
"1988-03-02","","Sacramento Kings",90,"Dallas Mavericks",115,17007,""
"1988-03-02","","Cleveland Cavaliers",81,"Denver Nuggets",99,9178,""
"1988-03-02","","Los Angeles Clippers",90,"Detroit Pistons",103,16554,""
"1988-03-02","","Houston Rockets",108,"Golden State Warriors",101,12589,""
"1988-03-02","","Indiana Pacers",102,"Washington Bullets",111,6129,""
"1988-03-03","","Philadelphia 76ers",93,"Chicago Bulls",97,17650,""
"1988-03-03","","Portland Trail Blazers",135,"Phoenix Suns",112,10435,""
"1988-03-04","","Los Angeles Clippers",90,"Boston Celtics",121,14890,""
"1988-03-04","","Houston Rockets",110,"Dallas Mavericks",118,17007,""
"1988-03-04","","Phoenix Suns",108,"Denver Nuggets",116,13212,""
"1988-03-04","","Washington Bullets",95,"Indiana Pacers",88,10429,""
"1988-03-04","","Golden State Warriors",107,"Los Angeles Lakers",120,17505,""
"1988-03-04","","Philadelphia 76ers",108,"New York Knicks",110,19479,""
"1988-03-04","","Sacramento Kings",134,"San Antonio Spurs",132,6347,""
"1988-03-04","","Utah Jazz",125,"Seattle SuperSonics",110,11268,""
"1988-03-05","","Milwaukee Bucks",104,"Atlanta Hawks",101,16451,""
"1988-03-05","","Los Angeles Clippers",76,"Chicago Bulls",100,18025,""
"1988-03-05","","Sacramento Kings",94,"Houston Rockets",105,16611,""
"1988-03-05","","New York Knicks",85,"New Jersey Nets",94,20039,""
"1988-03-05","","Golden State Warriors",117,"Portland Trail Blazers",123,12666,""
"1988-03-05","","Denver Nuggets",115,"Seattle SuperSonics",102,13287,""
"1988-03-05","","San Antonio Spurs",106,"Utah Jazz",125,12444,""
"1988-03-05","","Detroit Pistons",97,"Washington Bullets",101,15656,""
"1988-03-06","","Cleveland Cavaliers",98,"Boston Celtics",127,14890,""
"1988-03-06","","Los Angeles Lakers",108,"Dallas Mavericks",97,17007,""
"1988-03-06","","Milwaukee Bucks",99,"Detroit Pistons",109,24751,""
"1988-03-06","","Philadelphia 76ers",105,"Indiana Pacers",100,10742,""
"1988-03-07","","Chicago Bulls",98,"New York Knicks",110,19591,""
"1988-03-07","","Los Angeles Lakers",110,"Philadelphia 76ers",104,18168,""
"1988-03-07","","Denver Nuggets",114,"Sacramento Kings",116,10333,""
"1988-03-07","","New Jersey Nets",81,"Utah Jazz",105,12444,""
"1988-03-08","","Phoenix Suns",113,"Atlanta Hawks",143,10507,""
"1988-03-08","","Portland Trail Blazers",112,"Dallas Mavericks",110,17007,""
"1988-03-08","","Houston Rockets",113,"Denver Nuggets",103,11782,""
"1988-03-08","","Seattle SuperSonics",121,"Golden State Warriors",116,11178,""
"1988-03-08","","Detroit Pistons",104,"Indiana Pacers",117,13220,""
"1988-03-08","","San Antonio Spurs",101,"Milwaukee Bucks",119,11652,""
"1988-03-09","","San Antonio Spurs",118,"Boston Celtics",119,14890,""
"1988-03-09","","Milwaukee Bucks",91,"Cleveland Cavaliers",117,11641,""
"1988-03-09","","Utah Jazz",98,"Detroit Pistons",103,20623,""
"1988-03-09","","New Jersey Nets",97,"Los Angeles Clippers",93,7782,""
"1988-03-09","","Los Angeles Lakers",104,"New York Knicks",99,19591,""
"1988-03-09","","Seattle SuperSonics",106,"Sacramento Kings",97,10333,""
"1988-03-09","","Phoenix Suns",111,"Washington Bullets",115,8122,""
"1988-03-10","","Los Angeles Lakers",107,"Chicago Bulls",128,18676,""
"1988-03-10","","New Jersey Nets",112,"Golden State Warriors",128,9008,""
"1988-03-10","","Portland Trail Blazers",112,"Houston Rockets",109,16611,""
"1988-03-11","","New York Knicks",115,"Atlanta Hawks",122,16451,""
"1988-03-11","","Indiana Pacers",112,"Boston Celtics",122,15134,"at Hartford, CT"
"1988-03-11","","San Antonio Spurs",107,"Cleveland Cavaliers",117,12294,""
"1988-03-11","","Phoenix Suns",88,"Detroit Pistons",116,21613,""
"1988-03-11","","Golden State Warriors",101,"Los Angeles Clippers",96,7276,""
"1988-03-11","","Denver Nuggets",93,"Milwaukee Bucks",132,11052,""
"1988-03-11","","Sacramento Kings",118,"Philadelphia 76ers",124,8644,""
"1988-03-11","","Utah Jazz",109,"Washington Bullets",107,10775,""
"1988-03-12","","San Antonio Spurs",92,"Chicago Bulls",112,18389,""
"1988-03-12","","Cleveland Cavaliers",100,"Detroit Pistons",104,33854,""
"1988-03-12","","Dallas Mavericks",110,"Los Angeles Lakers",101,17505,""
"1988-03-12","","Utah Jazz",105,"New York Knicks",108,13964,""
"1988-03-13","","Atlanta Hawks",100,"Boston Celtics",117,14890,""
"1988-03-13","","Golden State Warriors",112,"Houston Rockets",125,16611,""
"1988-03-13","","Denver Nuggets",108,"Indiana Pacers",100,11250,""
"1988-03-13","","Phoenix Suns",107,"Milwaukee Bucks",117,11052,""
"1988-03-13","","Washington Bullets",96,"Philadelphia 76ers",104,15586,""
"1988-03-13","","Los Angeles Clippers",100,"Portland Trail Blazers",121,12666,""
"1988-03-13","","New Jersey Nets",102,"Seattle SuperSonics",115,9040,""
"1988-03-14","","Golden State Warriors",101,"Dallas Mavericks",121,17007,""
"1988-03-14","","Utah Jazz",116,"Denver Nuggets",115,10172,""
"1988-03-14","","Sacramento Kings",97,"Detroit Pistons",109,16909,""
"1988-03-14","","New Jersey Nets",105,"Los Angeles Lakers",115,17505,""
"1988-03-14","","Cleveland Cavaliers",102,"New York Knicks",104,13123,""
"1988-03-14","","San Antonio Spurs",106,"Washington Bullets",112,5236,""
"1988-03-15","","Philadelphia 76ers",90,"Atlanta Hawks",104,14179,""
"1988-03-15","","Cleveland Cavaliers",89,"Chicago Bulls",108,17752,""
"1988-03-15","","Los Angeles Clippers",110,"Houston Rockets",116,16611,""
"1988-03-15","","Boston Celtics",119,"Indiana Pacers",113,16912,""
"1988-03-15","","Sacramento Kings",97,"Milwaukee Bucks",108,11052,""
"1988-03-15","","Seattle SuperSonics",90,"Phoenix Suns",111,11159,""
"1988-03-15","","Los Angeles Lakers",95,"Portland Trail Blazers",112,12666,""
"1988-03-16","","Phoenix Suns",118,"Golden State Warriors",112,7820,""
"1988-03-16","","Milwaukee Bucks",79,"New Jersey Nets",83,9657,""
"1988-03-16","","New York Knicks",108,"Philadelphia 76ers",115,16122,""
"1988-03-16","","Los Angeles Clippers",110,"San Antonio Spurs",113,5086,""
"1988-03-16","","Dallas Mavericks",105,"Utah Jazz",120,12444,""
"1988-03-16","","Chicago Bulls",103,"Washington Bullets",106,16515,""
"1988-03-17","","Detroit Pistons",102,"Cleveland Cavaliers",99,13261,""
"1988-03-17","","Portland Trail Blazers",115,"Denver Nuggets",116,12742,""
"1988-03-17","","Seattle SuperSonics",106,"Houston Rockets",115,16611,""
"1988-03-17","","Washington Bullets",95,"Indiana Pacers",99,10445,""
"1988-03-18","","Boston Celtics",103,"Chicago Bulls",113,18676,""
"1988-03-18","","Portland Trail Blazers",121,"Golden State Warriors",116,12955,""
"1988-03-18","","Dallas Mavericks",106,"Los Angeles Clippers",98,12036,""
"1988-03-18","","Atlanta Hawks",106,"New Jersey Nets",104,19593,""
"1988-03-18","","Indiana Pacers",109,"Philadelphia 76ers",129,10141,""
"1988-03-18","","Seattle SuperSonics",118,"San Antonio Spurs",110,7353,""
"1988-03-18","","Denver Nuggets",111,"Utah Jazz",118,12444,""
"1988-03-19","","Cleveland Cavaliers",100,"Milwaukee Bucks",101,11052,""
"1988-03-19","","Atlanta Hawks",110,"New York Knicks",116,19591,""
"1988-03-19","","Los Angeles Lakers",95,"Phoenix Suns",102,14471,""
"1988-03-19","","Houston Rockets",104,"Sacramento Kings",121,10333,""
"1988-03-19","","Utah Jazz",110,"San Antonio Spurs",113,6351,""
"1988-03-19","","Philadelphia 76ers",94,"Washington Bullets",89,10550,""
"1988-03-20","","Chicago Bulls",107,"Boston Celtics",137,14890,""
"1988-03-20","","Seattle SuperSonics",95,"Denver Nuggets",108,13177,""
"1988-03-20","","Washington Bullets",110,"Detroit Pistons",118,22075,""
"1988-03-20","","Los Angeles Lakers",130,"Golden State Warriors",127,15025,""
"1988-03-20","","Sacramento Kings",112,"Los Angeles Clippers",116,4920,""
"1988-03-20","","Indiana Pacers",102,"New Jersey Nets",96,10902,""
"1988-03-20","","Dallas Mavericks",99,"Portland Trail Blazers",105,12666,""
"1988-03-21","","Milwaukee Bucks",105,"Atlanta Hawks",115,13702,""
"1988-03-21","","Los Angeles Clippers",99,"Phoenix Suns",107,10602,""
"1988-03-21","","New York Knicks",133,"San Antonio Spurs",121,5802,""
"1988-03-22","","New York Knicks",105,"Dallas Mavericks",124,17007,""
"1988-03-22","","San Antonio Spurs",109,"Denver Nuggets",136,10746,""
"1988-03-22","","Indiana Pacers",104,"Detroit Pistons",123,18645,""
"1988-03-22","","Houston Rockets",95,"Los Angeles Lakers",117,17505,""
"1988-03-22","","Atlanta Hawks",98,"Milwaukee Bucks",111,11052,""
"1988-03-22","","Philadelphia 76ers",90,"New Jersey Nets",102,11072,""
"1988-03-22","","Phoenix Suns",96,"Utah Jazz",103,12444,""
"1988-03-23","","Washington Bullets",89,"Boston Celtics",104,14890,""
"1988-03-23","","New Jersey Nets",96,"Cleveland Cavaliers",105,8029,""
"1988-03-23","","Sacramento Kings",118,"Golden State Warriors",126,9391,""
"1988-03-23","","Denver Nuggets",118,"Los Angeles Clippers",108,8569,""
"1988-03-23","","Chicago Bulls",118,"Philadelphia 76ers",102,13401,""
"1988-03-23","","Portland Trail Blazers",108,"Seattle SuperSonics",118,14250,""
"1988-03-24","","New York Knicks",117,"Houston Rockets",134,16611,""
"1988-03-24","","Milwaukee Bucks",114,"Phoenix Suns",119,11271,""
"1988-03-24","","Sacramento Kings",97,"Utah Jazz",117,12064,""
"1988-03-24","","Atlanta Hawks",91,"Washington Bullets",94,13629,""
"1988-03-25","","Philadelphia 76ers",97,"Boston Celtics",93,14890,""
"1988-03-25","","Chicago Bulls",111,"Cleveland Cavaliers",110,19876,""
"1988-03-25","","Portland Trail Blazers",101,"Dallas Mavericks",106,17007,""
"1988-03-25","","New Jersey Nets",100,"Indiana Pacers",101,11034,""
"1988-03-25","","Golden State Warriors",98,"Los Angeles Clippers",113,7884,""
"1988-03-25","","Denver Nuggets",120,"Los Angeles Lakers",119,17505,""
"1988-03-25","","Detroit Pistons",106,"San Antonio Spurs",107,8596,""
"1988-03-26","","Cleveland Cavaliers",102,"Atlanta Hawks",109,16418,""
"1988-03-26","","Indiana Pacers",100,"Chicago Bulls",109,18676,""
"1988-03-26","","San Antonio Spurs",112,"Dallas Mavericks",131,17007,""
"1988-03-26","","Denver Nuggets",131,"Golden State Warriors",108,9893,""
"1988-03-26","","Portland Trail Blazers",109,"Houston Rockets",115,16611,""
"1988-03-26","","Boston Celtics",118,"New York Knicks",106,19591,""
"1988-03-26","","Detroit Pistons",108,"Phoenix Suns",103,14025,""
"1988-03-26","","Los Angeles Lakers",92,"Sacramento Kings",114,10333,""
"1988-03-26","","Los Angeles Clippers",98,"Seattle SuperSonics",131,11650,""
"1988-03-26","","Milwaukee Bucks",107,"Utah Jazz",105,12444,""
"1988-03-26","","New Jersey Nets",88,"Washington Bullets",99,10724,""
"1988-03-28","","Detroit Pistons",100,"Los Angeles Clippers",102,12156,""
"1988-03-28","","Boston Celtics",106,"New Jersey Nets",105,18695,""
"1988-03-28","","Dallas Mavericks",106,"New York Knicks",114,12635,""
"1988-03-28","","Houston Rockets",98,"Philadelphia 76ers",108,9470,""
"1988-03-29","","Dallas Mavericks",106,"Atlanta Hawks",120,14583,""
"1988-03-29","","New York Knicks",103,"Cleveland Cavaliers",108,9389,""
"1988-03-29","","Utah Jazz",111,"Los Angeles Lakers",122,17505,""
"1988-03-29","","Denver Nuggets",107,"Sacramento Kings",103,10333,""
"1988-03-29","","Portland Trail Blazers",136,"San Antonio Spurs",113,7842,""
"1988-03-29","","Chicago Bulls",103,"Seattle SuperSonics",106,14850,""
"1988-03-30","","Houston Rockets",110,"Boston Celtics",117,14890,""
"1988-03-30","","Atlanta Hawks",103,"Detroit Pistons",102,47692,""
"1988-03-30","","Chicago Bulls",111,"Los Angeles Clippers",94,15167,""
"1988-03-30","","Milwaukee Bucks",109,"Philadelphia 76ers",134,10895,""
"1988-03-30","","Golden State Warriors",105,"Phoenix Suns",123,10662,""
"1988-03-30","","Cleveland Cavaliers",107,"Washington Bullets",96,8387,""
"1988-03-31","","Sacramento Kings",111,"Denver Nuggets",121,14518,""
"1988-03-31","","Houston Rockets",102,"Indiana Pacers",100,12206,""
"1988-03-31","","New York Knicks",113,"Milwaukee Bucks",103,11052,""
"1988-03-31","","San Antonio Spurs",117,"Seattle SuperSonics",115,9210,""
"1988-03-31","","Golden State Warriors",92,"Utah Jazz",115,12444,""
