Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Tue, May 2, 1989",Phoenix Suns,130,Denver Nuggets,121,Box Score,,"12,660",
"Tue, May 2, 1989",Detroit Pistons,100,Boston Celtics,85,Box Score,,"14,890",
"Tue, May 2, 1989",New York Knicks,116,Philadelphia 76ers,115,Box Score,OT,"16,236",
"Tue, May 2, 1989",Utah Jazz,106,Golden State Warriors,120,Box Score,,"15,025",
"Tue, May 2, 1989",Atlanta Hawks,113,Milwaukee Bucks,117,Box Score,OT,"18,469",
"Wed, May 3, 1989",Cleveland Cavaliers,94,Chicago Bulls,101,Box Score,,"17,721",
"Wed, May 3, 1989",Seattle SuperSonics,107,Houston Rockets,126,Box Score,,"16,611",
"Wed, May 3, 1989",Los Angeles Lakers,116,Portland Trail Blazers,108,Box Score,,"12,880",
"Fri, May 5, 1989",Cleveland Cavaliers,108,Chicago Bulls,105,Box Score,OT,"18,264",
"Fri, May 5, 1989",Seattle SuperSonics,98,Houston Rockets,96,Box Score,,"16,611",
"Fri, May 5, 1989",Atlanta Hawks,113,Milwaukee Bucks,106,Box Score,OT,"18,633",
"Sat, May 6, 1989",Golden State Warriors,103,Phoenix Suns,130,Box Score,,"14,471",
"Sun, May 7, 1989",Milwaukee Bucks,96,Atlanta Hawks,92,Box Score,,"16,220",
"Sun, May 7, 1989",Chicago Bulls,101,Cleveland Cavaliers,100,Box Score,,"20,273",The Shot
"Sun, May 7, 1989",Seattle SuperSonics,102,Los Angeles Lakers,113,Box Score,,"17,505",
"Tue, May 9, 1989",Chicago Bulls,120,New York Knicks,109,Box Score,OT,"19,591",
"Tue, May 9, 1989",Golden State Warriors,127,Phoenix Suns,122,Box Score,,"14,471",
"Wed, May 10, 1989",Milwaukee Bucks,80,Detroit Pistons,85,Box Score,,"21,454",
"Wed, May 10, 1989",Seattle SuperSonics,108,Los Angeles Lakers,130,Box Score,,"17,505",
"Thu, May 11, 1989",Chicago Bulls,97,New York Knicks,114,Box Score,,"19,591",
"Thu, May 11, 1989",Phoenix Suns,113,Golden State Warriors,104,Box Score,,"15,025",
"Fri, May 12, 1989",Milwaukee Bucks,92,Detroit Pistons,112,Box Score,,"21,454",
"Fri, May 12, 1989",Los Angeles Lakers,91,Seattle SuperSonics,86,Box Score,,"14,541",at Kingdome
"Sat, May 13, 1989",New York Knicks,88,Chicago Bulls,111,Box Score,,"18,599",
"Sat, May 13, 1989",Phoenix Suns,135,Golden State Warriors,99,Box Score,,"15,025",
"Sun, May 14, 1989",New York Knicks,93,Chicago Bulls,106,Box Score,,"18,637",
"Sun, May 14, 1989",Detroit Pistons,110,Milwaukee Bucks,90,Box Score,,"18,633",
"Sun, May 14, 1989",Los Angeles Lakers,97,Seattle SuperSonics,95,Box Score,,"14,006",at Kingdome
"Mon, May 15, 1989",Detroit Pistons,96,Milwaukee Bucks,94,Box Score,,"18,633",
"Tue, May 16, 1989",Golden State Warriors,104,Phoenix Suns,116,Box Score,,"14,471",
"Tue, May 16, 1989",Chicago Bulls,114,New York Knicks,121,Box Score,,"19,591",
"Fri, May 19, 1989",New York Knicks,111,Chicago Bulls,113,Box Score,,"18,676",
"Sat, May 20, 1989",Phoenix Suns,119,Los Angeles Lakers,127,Box Score,,"17,505",
"Sun, May 21, 1989",Chicago Bulls,94,Detroit Pistons,88,Box Score,,"21,454",
"Tue, May 23, 1989",Chicago Bulls,91,Detroit Pistons,100,Box Score,,"21,454",
"Tue, May 23, 1989",Phoenix Suns,95,Los Angeles Lakers,101,Box Score,,"17,505",
"Fri, May 26, 1989",Los Angeles Lakers,110,Phoenix Suns,107,Box Score,,"14,471",
"Sat, May 27, 1989",Detroit Pistons,97,Chicago Bulls,99,Box Score,,"18,676",
"Sun, May 28, 1989",Los Angeles Lakers,122,Phoenix Suns,117,Box Score,,"14,471",
"Mon, May 29, 1989",Detroit Pistons,86,Chicago Bulls,80,Box Score,,"18,676",
"Wed, May 31, 1989",Chicago Bulls,85,Detroit Pistons,94,Box Score,,"21,454",
