Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Tue, Dec 1, 1992",Indiana Pacers,107,Atlanta Hawks,119,Box Score,,"7,216",
"Tue, Dec 1, 1992",Boston Celtics,101,Cleveland Cavaliers,111,Box Score,,"16,023",
"Tue, Dec 1, 1992",Houston Rockets,105,Denver Nuggets,112,Box Score,,"10,147",
"Tue, Dec 1, 1992",Portland Trail Blazers,85,New York Knicks,101,Box Score,,"19,763",
"Tue, Dec 1, 1992",Charlotte Hornets,90,Phoenix Suns,109,Box Score,,"19,023",
"Tue, Dec 1, 1992",Los Angeles Lakers,110,Sacramento Kings,117,Box Score,,"17,317",
"Tue, Dec 1, 1992",Orlando Magic,102,Seattle SuperSonics,116,Box Score,,"14,809",
"Tue, Dec 1, 1992",Dallas Mavericks,101,Utah Jazz,116,Box Score,,"19,452",
"Tue, Dec 1, 1992",San Antonio Spurs,106,Washington Bullets,119,Box Score,,"15,642",
"Wed, Dec 2, 1992",Chicago Bulls,96,Boston Celtics,101,Box Score,,"14,890",
"Wed, Dec 2, 1992",Charlotte Hornets,111,Golden State Warriors,110,Box Score,,"15,025",
"Wed, Dec 2, 1992",Portland Trail Blazers,112,Indiana Pacers,103,Box Score,,"11,018",
"Wed, Dec 2, 1992",Miami Heat,97,Milwaukee Bucks,100,Box Score,,"14,516",
"Wed, Dec 2, 1992",Atlanta Hawks,115,New Jersey Nets,122,Box Score,,"9,069",
"Wed, Dec 2, 1992",San Antonio Spurs,98,Philadelphia 76ers,82,Box Score,,"12,731",
"Thu, Dec 3, 1992",New York Knicks,90,Cleveland Cavaliers,100,Box Score,,"16,373",
"Thu, Dec 3, 1992",Los Angeles Lakers,95,Houston Rockets,89,Box Score,,"10,902",
"Thu, Dec 3, 1992",Orlando Magic,104,Los Angeles Clippers,122,Box Score,,"15,567",
"Thu, Dec 3, 1992",Dallas Mavericks,108,Seattle SuperSonics,125,Box Score,,"7,949",
"Thu, Dec 3, 1992",Minnesota Timberwolves,91,Utah Jazz,110,Box Score,,"19,911",
"Thu, Dec 3, 1992",Milwaukee Bucks,95,Washington Bullets,113,Box Score,,"7,711",
"Fri, Dec 4, 1992",Miami Heat,104,Boston Celtics,114,Box Score,,"14,890",
"Fri, Dec 4, 1992",Portland Trail Blazers,99,Chicago Bulls,111,Box Score,,"18,676",
"Fri, Dec 4, 1992",Golden State Warriors,113,Denver Nuggets,116,Box Score,,"12,936",
"Fri, Dec 4, 1992",Atlanta Hawks,106,Indiana Pacers,122,Box Score,,"10,019",
"Fri, Dec 4, 1992",San Antonio Spurs,103,New Jersey Nets,108,Box Score,OT,"15,068",
"Fri, Dec 4, 1992",Detroit Pistons,101,Philadelphia 76ers,99,Box Score,,"11,180",
"Fri, Dec 4, 1992",Los Angeles Lakers,93,Phoenix Suns,103,Box Score,,"19,023",
"Fri, Dec 4, 1992",Charlotte Hornets,112,Sacramento Kings,111,Box Score,,"17,317",
"Sat, Dec 5, 1992",San Antonio Spurs,105,Atlanta Hawks,113,Box Score,,"11,301",
"Sat, Dec 5, 1992",Boston Celtics,89,Chicago Bulls,96,Box Score,,"18,676",
"Sat, Dec 5, 1992",Portland Trail Blazers,96,Cleveland Cavaliers,94,Box Score,,"19,010",
"Sat, Dec 5, 1992",Houston Rockets,117,Dallas Mavericks,96,Box Score,,"14,096",
"Sat, Dec 5, 1992",Philadelphia 76ers,88,Detroit Pistons,112,Box Score,,"21,454",
"Sat, Dec 5, 1992",Orlando Magic,104,Golden State Warriors,119,Box Score,,"15,025",
"Sat, Dec 5, 1992",Charlotte Hornets,109,Los Angeles Clippers,119,Box Score,,"11,830",
"Sat, Dec 5, 1992",New Jersey Nets,111,Miami Heat,104,Box Score,,"15,008",
"Sat, Dec 5, 1992",Milwaukee Bucks,98,New York Knicks,111,Box Score,,"19,763",
"Sat, Dec 5, 1992",Minnesota Timberwolves,87,Seattle SuperSonics,124,Box Score,,"11,223",
"Sat, Dec 5, 1992",Denver Nuggets,89,Utah Jazz,119,Box Score,,"19,911",
"Sat, Dec 5, 1992",Indiana Pacers,111,Washington Bullets,109,Box Score,,"8,979",
