"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1994-05-01","","Portland Trail Blazers",104,"Houston Rockets",115,16355,""
"1994-05-01","","Cleveland Cavaliers",96,"Chicago Bulls",105,18676,""
"1994-05-01","","Golden State Warriors",111,"Phoenix Suns",117,19023,""
"1994-05-01","","New Jersey Nets",81,"New York Knicks",90,19763,""
"1994-05-02","","Seattle SuperSonics",93,"Denver Nuggets",110,17171,""
"1994-05-02","","Orlando Magic",86,"Indiana Pacers",99,16562,""
"1994-05-03","","Chicago Bulls",95,"Cleveland Cavaliers",92,17778,""
"1994-05-03","","Atlanta Hawks",86,"Miami Heat",90,15200,""
"1994-05-03","","Houston Rockets",115,"Portland Trail Blazers",118,12888,""
"1994-05-03","","San Antonio Spurs",72,"Utah Jazz",105,19911,""
"1994-05-04","","Phoenix Suns",140,"Golden State Warriors",133,15025,""
"1994-05-04","","New York Knicks",92,"New Jersey Nets",93,20049,""
"1994-05-05","","Seattle SuperSonics",85,"Denver Nuggets",94,17171,""
"1994-05-05","","Atlanta Hawks",103,"Miami Heat",89,15200,""
"1994-05-05","","San Antonio Spurs",90,"Utah Jazz",95,19911,""
"1994-05-06","","New York Knicks",102,"New Jersey Nets",92,20049,""
"1994-05-06","","Houston Rockets",92,"Portland Trail Blazers",89,12888,""
"1994-05-07","","Denver Nuggets",98,"Seattle SuperSonics",94,14813,""
"1994-05-08","","Miami Heat",91,"Atlanta Hawks",102,14472,""
"1994-05-08","","Phoenix Suns",91,"Houston Rockets",87,15073,""
"1994-05-08","","Chicago Bulls",86,"New York Knicks",90,19763,""
"1994-05-10","","Indiana Pacers",96,"Atlanta Hawks",85,13190,""
"1994-05-10","","Denver Nuggets",91,"Utah Jazz",100,19911,""
"1994-05-11","","Phoenix Suns",124,"Houston Rockets",117,16611,""
"1994-05-11","","Chicago Bulls",91,"New York Knicks",96,19763,""
"1994-05-12","","Indiana Pacers",69,"Atlanta Hawks",92,15854,""
"1994-05-12","","Denver Nuggets",94,"Utah Jazz",104,19911,""
"1994-05-13","","New York Knicks",102,"Chicago Bulls",104,18676,""
"1994-05-13","","Houston Rockets",118,"Phoenix Suns",102,19023,""
"1994-05-14","","Utah Jazz",111,"Denver Nuggets",109,17171,""
"1994-05-14","","Atlanta Hawks",81,"Indiana Pacers",101,16545,""
"1994-05-15","","New York Knicks",83,"Chicago Bulls",95,18676,""
"1994-05-15","","Utah Jazz",82,"Denver Nuggets",83,17171,""
"1994-05-15","","Atlanta Hawks",86,"Indiana Pacers",102,16561,""
"1994-05-15","","Houston Rockets",107,"Phoenix Suns",96,19023,""
"1994-05-17","","Indiana Pacers",76,"Atlanta Hawks",88,14849,""
"1994-05-17","","Phoenix Suns",86,"Houston Rockets",109,16611,""
"1994-05-17","","Denver Nuggets",109,"Utah Jazz",101,19911,""
"1994-05-18","","Chicago Bulls",86,"New York Knicks",87,19763,""
"1994-05-19","","Houston Rockets",89,"Phoenix Suns",103,19023,""
"1994-05-19","","Atlanta Hawks",79,"Indiana Pacers",98,"",""
"1994-05-19","","Utah Jazz",91,"Denver Nuggets",94,17171,""
"1994-05-20","","New York Knicks",79,"Chicago Bulls",93,18676,""
"1994-05-21","","Phoenix Suns",94,"Houston Rockets",104,16611,""
"1994-05-21","","Denver Nuggets",81,"Utah Jazz",91,19911,""
"1994-05-22","","Chicago Bulls",77,"New York Knicks",87,19763,""
"1994-05-23","","Utah Jazz",88,"Houston Rockets",100,16260,""
"1994-05-24","","Indiana Pacers",89,"New York Knicks",100,19763,""
"1994-05-25","","Utah Jazz",99,"Houston Rockets",104,16611,""
"1994-05-26","","Indiana Pacers",78,"New York Knicks",89,19763,""
"1994-05-27","","Houston Rockets",86,"Utah Jazz",95,19911,""
"1994-05-28","","New York Knicks",68,"Indiana Pacers",88,16530,""
"1994-05-29","","Houston Rockets",80,"Utah Jazz",78,19911,""
"1994-05-30","","New York Knicks",77,"Indiana Pacers",83,16536,""
"1994-05-31","","Utah Jazz",83,"Houston Rockets",94,16611,""
