Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Sat, Apr 1, 1995",Philadelphia 76ers,84,Chicago Bulls,91,Box Score,,"23,465",
"Sat, Apr 1, 1995",Minnesota Timberwolves,126,Golden State Warriors,104,Box Score,,"15,025",
"Sat, Apr 1, 1995",Milwaukee Bucks,93,Houston Rockets,87,Box Score,,"16,611",
"Sat, Apr 1, 1995",Utah Jazz,98,Los Angeles Clippers,116,Box Score,,"18,198","at Anaheim, CA"
"Sun, Apr 2, 1995",Dallas Mavericks,87,Boston Celtics,94,Box Score,,"14,890",
"Sun, Apr 2, 1995",Denver Nuggets,104,Cleveland Cavaliers,101,Box Score,,"20,562",
"Sun, Apr 2, 1995",Washington Bullets,105,Detroit Pistons,110,Box Score,,"21,454",
"Sun, Apr 2, 1995",Portland Trail Blazers,93,Indiana Pacers,104,Box Score,,"16,437",
"Sun, Apr 2, 1995",Orlando Magic,112,Los Angeles Lakers,119,Box Score,,"17,505",
"Sun, Apr 2, 1995",Charlotte Hornets,105,Miami Heat,92,Box Score,,"14,389",
"Sun, Apr 2, 1995",New York Knicks,94,New Jersey Nets,85,Box Score,,"20,049",
"Sun, Apr 2, 1995",Phoenix Suns,106,San Antonio Spurs,109,Box Score,,"35,888",
"Sun, Apr 2, 1995",Atlanta Hawks,83,Seattle SuperSonics,105,Box Score,,"17,368",
"Tue, Apr 4, 1995",Boston Celtics,97,Cleveland Cavaliers,92,Box Score,,"20,562",
"Tue, Apr 4, 1995",Los Angeles Lakers,104,Denver Nuggets,101,Box Score,,"17,171",
"Tue, Apr 4, 1995",Phoenix Suns,114,Golden State Warriors,122,Box Score,,"15,025",
"Tue, Apr 4, 1995",San Antonio Spurs,113,Los Angeles Clippers,89,Box Score,,"10,856",
"Tue, Apr 4, 1995",Philadelphia 76ers,92,Miami Heat,95,Box Score,,"14,375",
"Tue, Apr 4, 1995",Indiana Pacers,94,New York Knicks,90,Box Score,,"19,763",
"Tue, Apr 4, 1995",Minnesota Timberwolves,91,Portland Trail Blazers,95,Box Score,,"12,888",
"Tue, Apr 4, 1995",Houston Rockets,105,Sacramento Kings,109,Box Score,,"17,317",
"Tue, Apr 4, 1995",Seattle SuperSonics,92,Utah Jazz,114,Box Score,,"19,911",
"Wed, Apr 5, 1995",Cleveland Cavaliers,87,Atlanta Hawks,96,Box Score,,"12,539",
"Wed, Apr 5, 1995",Philadelphia 76ers,66,Charlotte Hornets,84,Box Score,,"23,698",
"Wed, Apr 5, 1995",Los Angeles Lakers,111,Dallas Mavericks,130,Box Score,,"17,502",
"Wed, Apr 5, 1995",Washington Bullets,90,Indiana Pacers,102,Box Score,,"16,707",
"Wed, Apr 5, 1995",New York Knicks,114,Milwaukee Bucks,94,Box Score,,"14,679",
"Wed, Apr 5, 1995",Chicago Bulls,108,New Jersey Nets,101,Box Score,,"20,049",
"Wed, Apr 5, 1995",Detroit Pistons,125,Orlando Magic,128,Box Score,,"16,010",
"Thu, Apr 6, 1995",Seattle SuperSonics,106,Denver Nuggets,100,Box Score,,"17,171",
"Thu, Apr 6, 1995",Houston Rockets,110,Golden State Warriors,102,Box Score,,"15,025",
"Thu, Apr 6, 1995",San Antonio Spurs,96,Sacramento Kings,94,Box Score,,"17,317",
"Thu, Apr 6, 1995",Phoenix Suns,127,Washington Bullets,123,Box Score,,"18,756",
"Fri, Apr 7, 1995",Indiana Pacers,90,Atlanta Hawks,102,Box Score,,"14,521",
"Fri, Apr 7, 1995",Philadelphia 76ers,81,Boston Celtics,91,Box Score,,"14,890",
"Fri, Apr 7, 1995",Cleveland Cavaliers,88,Chicago Bulls,97,Box Score,,"23,664",
"Fri, Apr 7, 1995",Minnesota Timberwolves,94,Dallas Mavericks,111,Box Score,,"17,502",
"Fri, Apr 7, 1995",Orlando Magic,94,Detroit Pistons,104,Box Score,,"21,454",
"Fri, Apr 7, 1995",Utah Jazz,90,Los Angeles Lakers,113,Box Score,,"17,505",
"Fri, Apr 7, 1995",New Jersey Nets,92,Milwaukee Bucks,107,Box Score,,"18,633",
"Fri, Apr 7, 1995",Houston Rockets,109,Portland Trail Blazers,127,Box Score,,"12,888",
"Fri, Apr 7, 1995",Charlotte Hornets,98,Washington Bullets,93,Box Score,,"18,756",
"Sat, Apr 8, 1995",Seattle SuperSonics,125,Dallas Mavericks,98,Box Score,,"17,502",
"Sat, Apr 8, 1995",San Antonio Spurs,112,Golden State Warriors,99,Box Score,,"15,025",
"Sat, Apr 8, 1995",Miami Heat,93,New Jersey Nets,103,Box Score,,"18,568",
"Sat, Apr 8, 1995",Detroit Pistons,96,New York Knicks,113,Box Score,,"19,763",
"Sat, Apr 8, 1995",Orlando Magic,99,Philadelphia 76ers,109,Box Score,,"18,168",
"Sat, Apr 8, 1995",Los Angeles Clippers,112,Sacramento Kings,105,Box Score,OT,"17,317",
"Sun, Apr 9, 1995",Chicago Bulls,78,Cleveland Cavaliers,79,Box Score,,"20,562",
"Sun, Apr 9, 1995",Houston Rockets,123,Denver Nuggets,120,Box Score,,"17,171",
"Sun, Apr 9, 1995",Charlotte Hornets,68,Indiana Pacers,97,Box Score,,"16,661",
"Sun, Apr 9, 1995",San Antonio Spurs,101,Los Angeles Lakers,87,Box Score,,"17,505",
"Sun, Apr 9, 1995",Atlanta Hawks,99,Milwaukee Bucks,102,Box Score,,"18,633",
"Sun, Apr 9, 1995",Phoenix Suns,104,Portland Trail Blazers,94,Box Score,,"12,888",
"Sun, Apr 9, 1995",Boston Celtics,110,Washington Bullets,98,Box Score,,"18,756",
"Mon, Apr 10, 1995",Boston Celtics,95,Charlotte Hornets,119,Box Score,,"23,698",
"Mon, Apr 10, 1995",Golden State Warriors,123,Dallas Mavericks,112,Box Score,,"17,063",
"Mon, Apr 10, 1995",Denver Nuggets,114,Minnesota Timberwolves,107,Box Score,,"16,161",
"Tue, Apr 11, 1995",Indiana Pacers,89,Chicago Bulls,96,Box Score,,"23,504",
"Tue, Apr 11, 1995",Dallas Mavericks,156,Houston Rockets,147,Box Score,2OT,"16,431",
"Tue, Apr 11, 1995",Sacramento Kings,117,Los Angeles Clippers,85,Box Score,,"8,836",
"Tue, Apr 11, 1995",Detroit Pistons,109,Milwaukee Bucks,114,Box Score,OT,"16,510",
"Tue, Apr 11, 1995",Miami Heat,99,New York Knicks,112,Box Score,,"19,763",
"Tue, Apr 11, 1995",Cleveland Cavaliers,90,Orlando Magic,107,Box Score,,"16,010",
"Tue, Apr 11, 1995",Atlanta Hawks,110,Philadelphia 76ers,106,Box Score,OT,"9,960",
"Tue, Apr 11, 1995",Portland Trail Blazers,91,San Antonio Spurs,71,Box Score,,"19,011",
"Tue, Apr 11, 1995",Phoenix Suns,96,Seattle SuperSonics,90,Box Score,,"18,036",
"Tue, Apr 11, 1995",Los Angeles Lakers,93,Utah Jazz,100,Box Score,,"19,911",
"Wed, Apr 12, 1995",Washington Bullets,82,Atlanta Hawks,90,Box Score,,"12,617",
"Wed, Apr 12, 1995",New Jersey Nets,77,Charlotte Hornets,105,Box Score,,"23,698",
"Wed, Apr 12, 1995",Chicago Bulls,124,Detroit Pistons,113,Box Score,,"21,454",
"Wed, Apr 12, 1995",Golden State Warriors,123,Minnesota Timberwolves,109,Box Score,,"13,850",
"Wed, Apr 12, 1995",San Antonio Spurs,111,Phoenix Suns,115,Box Score,,"19,023",
"Wed, Apr 12, 1995",Los Angeles Lakers,99,Sacramento Kings,109,Box Score,,"17,317",
"Thu, Apr 13, 1995",Orlando Magic,114,Boston Celtics,119,Box Score,,"14,890",
"Thu, Apr 13, 1995",Portland Trail Blazers,99,Houston Rockets,112,Box Score,,"16,611",
"Thu, Apr 13, 1995",Denver Nuggets,125,Los Angeles Clippers,103,Box Score,,"9,481",
"Thu, Apr 13, 1995",Cleveland Cavaliers,84,Miami Heat,85,Box Score,,"14,311",
"Thu, Apr 13, 1995",Washington Bullets,100,New York Knicks,110,Box Score,,"19,763",
"Thu, Apr 13, 1995",New Jersey Nets,94,Philadelphia 76ers,102,Box Score,,"9,849",
"Thu, Apr 13, 1995",Dallas Mavericks,112,Seattle SuperSonics,133,Box Score,,"15,900",
"Thu, Apr 13, 1995",Golden State Warriors,102,Utah Jazz,121,Box Score,,"19,911",
"Fri, Apr 14, 1995",Atlanta Hawks,70,Cleveland Cavaliers,83,Box Score,,"20,562",
