"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1994-12-01","","Denver Nuggets",89,"Dallas Mavericks",80,13929,""
"1994-12-01","","Houston Rockets",113,"Golden State Warriors",109,15025,""
"1994-12-01","","Indiana Pacers",93,"Los Angeles Clippers",84,6685,""
"1994-12-01","","Cleveland Cavaliers",93,"Milwaukee Bucks",87,13648,""
"1994-12-01","","Minnesota Timberwolves",96,"Utah Jazz",94,19323,""
"1994-12-02","","Phoenix Suns",107,"Boston Celtics",102,14890,""
"1994-12-02","","Atlanta Hawks",92,"Chicago Bulls",81,22215,""
"1994-12-02","","Houston Rockets",89,"Los Angeles Lakers",107,13056,""
"1994-12-02","","New Jersey Nets",97,"Miami Heat",115,14449,""
"1994-12-02","","New York Knicks",100,"Orlando Magic",125,16010,""
"1994-12-02","","Sacramento Kings",96,"Philadelphia 76ers",99,9333,""
"1994-12-02","","San Antonio Spurs",95,"Portland Trail Blazers",91,12888,""
"1994-12-02","","Detroit Pistons",104,"Washington Bullets",115,18756,""
"1994-12-03","","Orlando Magic",105,"Atlanta Hawks",107,15752,""
"1994-12-03","","Boston Celtics",109,"Chicago Bulls",125,22129,""
"1994-12-03","","Philadelphia 76ers",83,"Cleveland Cavaliers",78,20089,""
"1994-12-03","","Utah Jazz",112,"Dallas Mavericks",87,17502,""
"1994-12-03","","Charlotte Hornets",88,"Denver Nuggets",99,17171,""
"1994-12-03","","Phoenix Suns",97,"Detroit Pistons",107,21454,""
"1994-12-03","","Indiana Pacers",118,"Golden State Warriors",107,15025,""
"1994-12-03","","Minnesota Timberwolves",103,"Los Angeles Clippers",95,6196,""
"1994-12-03","","Sacramento Kings",94,"New Jersey Nets",89,20049,""
"1994-12-03","","Washington Bullets",95,"New York Knicks",111,19763,""
"1994-12-03","","Milwaukee Bucks",108,"Seattle SuperSonics",111,14661,""
"1994-12-04","","Milwaukee Bucks",103,"Portland Trail Blazers",106,12888,""
"1994-12-05","","New Jersey Nets",99,"Chicago Bulls",94,22307,""
"1994-12-05","","Charlotte Hornets",115,"Los Angeles Clippers",83,7492,""
"1994-12-05","","New York Knicks",101,"Philadelphia 76ers",96,14212,""
"1994-12-06","","Orlando Magic",114,"Cleveland Cavaliers",97,20562,""
"1994-12-06","","Detroit Pistons",83,"Indiana Pacers",90,14361,""
"1994-12-06","","Golden State Warriors",101,"Los Angeles Lakers",113,10579,""
"1994-12-06","","Denver Nuggets",102,"Minnesota Timberwolves",95,13669,""
"1994-12-06","","Atlanta Hawks",94,"New Jersey Nets",91,12730,""
"1994-12-06","","Boston Celtics",90,"New York Knicks",104,19763,""
"1994-12-06","","Milwaukee Bucks",95,"Sacramento Kings",108,17317,""
