"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2000-10-31","19:30","Charlotte Hornets",106,"Atlanta Hawks",82,18465,""
"2000-10-31","19:30","Cleveland Cavaliers",86,"New Jersey Nets",82,14505,""
"2000-10-31","19:30","Washington Wizards",86,"Orlando Magic",97,13349,""
"2000-10-31","20:00","Milwaukee Bucks",93,"Dallas Mavericks",97,16600,""
"2000-10-31","20:00","Philadelphia 76ers",101,"New York Knicks",72,19763,""
"2000-10-31","20:00","Detroit Pistons",104,"Toronto Raptors",95,19800,""
"2000-10-31","20:30","Sacramento Kings",100,"Chicago Bulls",81,21814,""
"2000-10-31","20:30","Minnesota Timberwolves",106,"Houston Rockets",98,11327,""
"2000-10-31","20:30","Indiana Pacers",85,"San Antonio Spurs",98,17450,""
"2000-10-31","21:00","Los Angeles Clippers",94,"Utah Jazz",107,17824,""
"2000-10-31","22:30","Phoenix Suns",94,"Golden State Warriors",96,15460,""
"2000-10-31","22:30","Los Angeles Lakers",96,"Portland Trail Blazers",86,20270,""
"2000-10-31","22:30","Seattle SuperSonics",88,"Vancouver Grizzlies",94,15779,""
