"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2002-02-01","19:00","New York Knicks",87,"Indiana Pacers",92,18345,""
"2002-02-01","19:00","Atlanta Hawks",90,"Washington Wizards",97,20674,""
"2002-02-01","19:30","Minnesota Timberwolves",98,"Boston Celtics",95,18624,""
"2002-02-01","19:30","San Antonio Spurs",83,"Miami Heat",88,15658,""
"2002-02-01","20:00","Orlando Magic",85,"Detroit Pistons",83,19627,""
"2002-02-01","20:00","Los Angeles Lakers",100,"Memphis Grizzlies",85,19405,""
"2002-02-01","20:30","Charlotte Hornets",73,"Houston Rockets",72,11004,""
"2002-02-01","21:00","Golden State Warriors",98,"Phoenix Suns",104,18733,""
"2002-02-01","22:00","Denver Nuggets",96,"Sacramento Kings",132,17317,""
"2002-02-02","12:30","Toronto Raptors",91,"New Jersey Nets",98,20049,""
"2002-02-02","15:00","Portland Trail Blazers",96,"Utah Jazz",97,18847,""
"2002-02-02","17:30","Philadelphia 76ers",86,"Milwaukee Bucks",81,18717,""
"2002-02-02","20:00","Los Angeles Clippers",94,"Atlanta Hawks",101,14994,""
"2002-02-02","20:00","Detroit Pistons",115,"Cleveland Cavaliers",107,17476,""
"2002-02-02","20:00","Chicago Bulls",97,"Seattle SuperSonics",91,16191,""
"2002-02-03","12:00","Miami Heat",94,"New York Knicks",83,19763,""
"2002-02-03","12:00","San Antonio Spurs",105,"Orlando Magic",98,15072,""
"2002-02-03","12:00","Indiana Pacers",89,"Washington Wizards",109,20674,""
"2002-02-03","14:30","Los Angeles Lakers",101,"Dallas Mavericks",94,20179,""
"2002-02-03","14:30","Sacramento Kings",112,"Minnesota Timberwolves",107,19006,""
"2002-02-03","15:00","Charlotte Hornets",97,"Memphis Grizzlies",79,14827,""
"2002-02-03","19:30","Los Angeles Clippers",91,"Boston Celtics",104,15025,""
"2002-02-03","21:00","Phoenix Suns",98,"Golden State Warriors",97,9326,""
"2002-02-03","22:00","Chicago Bulls",96,"Portland Trail Blazers",101,19150,""
"2002-02-04","19:30","Sacramento Kings",83,"New Jersey Nets",117,14840,""
"2002-02-04","19:30","Toronto Raptors",100,"Philadelphia 76ers",93,20512,""
"2002-02-04","20:30","Utah Jazz",97,"Houston Rockets",104,10851,""
"2002-02-04","20:30","Minnesota Timberwolves",83,"San Antonio Spurs",113,17809,""
"2002-02-05","19:00","Boston Celtics",82,"Charlotte Hornets",79,10903,""
"2002-02-05","19:30","Philadelphia 76ers",82,"Detroit Pistons",86,20378,""
"2002-02-05","19:30","Atlanta Hawks",76,"Miami Heat",73,15213,""
"2002-02-05","19:30","Los Angeles Clippers",112,"New York Knicks",110,19763,""
"2002-02-05","19:30","Cleveland Cavaliers",98,"Orlando Magic",106,15118,""
"2002-02-05","20:00","Dallas Mavericks",141,"Indiana Pacers",140,15530,""
"2002-02-05","20:00","Utah Jazz",79,"Memphis Grizzlies",86,12216,""
"2002-02-05","20:00","Toronto Raptors",94,"Washington Wizards",99,20674,""
"2002-02-05","21:00","Portland Trail Blazers",96,"Denver Nuggets",97,16539,""
"2002-02-05","22:30","Seattle SuperSonics",113,"Golden State Warriors",87,11710,""
"2002-02-06","19:00","Sacramento Kings",102,"Boston Celtics",85,15621,""
"2002-02-06","19:00","Houston Rockets",109,"Cleveland Cavaliers",111,12442,""
"2002-02-06","19:30","Dallas Mavericks",112,"New Jersey Nets",100,16179,""
"2002-02-06","20:00","Portland Trail Blazers",103,"Minnesota Timberwolves",113,16233,""
