"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2005-06-01","21:00","San Antonio Spurs",101,"Phoenix Suns",95,18422,""
"2005-06-02","20:00","Detroit Pistons",76,"Miami Heat",88,20225,""
"2005-06-04","20:00","Miami Heat",66,"Detroit Pistons",91,22076,""
"2005-06-06","20:00","Detroit Pistons",88,"Miami Heat",82,20241,""
"2005-06-09","21:00","Detroit Pistons",69,"San Antonio Spurs",84,18797,""
"2005-06-12","21:00","Detroit Pistons",76,"San Antonio Spurs",97,18797,""
"2005-06-14","21:00","San Antonio Spurs",79,"Detroit Pistons",96,22076,""
"2005-06-16","21:00","San Antonio Spurs",71,"Detroit Pistons",102,22076,""
"2005-06-19","21:00","San Antonio Spurs",96,"Detroit Pistons",95,22076,""
"2005-06-21","21:00","Detroit Pistons",95,"San Antonio Spurs",86,18797,""
"2005-06-23","21:00","Detroit Pistons",74,"San Antonio Spurs",81,18797,""
