"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2017-11-01","19:00","Milwaukee Bucks",121,"Charlotte Hornets",126,15655,""
"2017-11-01","19:00","Indiana Pacers",124,"Cleveland Cavaliers",107,20562,""
"2017-11-01","19:00","Atlanta Hawks",109,"Philadelphia 76ers",119,20549,""
"2017-11-01","19:00","Phoenix Suns",122,"Washington Wizards",116,14790,""
"2017-11-01","19:30","Sacramento Kings",86,"Boston Celtics",113,18624,""
"2017-11-01","19:30","Chicago Bulls",91,"Miami Heat",97,19600,""
"2017-11-01","20:00","Orlando Magic",101,"Memphis Grizzlies",99,15434,""
"2017-11-01","20:00","Minnesota Timberwolves",104,"New Orleans Pelicans",98,14788,""
"2017-11-01","20:00","Houston Rockets",119,"New York Knicks",97,18320,""
"2017-11-01","21:00","Toronto Raptors",111,"Denver Nuggets",129,14072,""
"2017-11-01","21:00","Portland Trail Blazers",103,"Utah Jazz",112,16685,""
"2017-11-01","22:30","Dallas Mavericks",98,"Los Angeles Clippers",119,13487,""
"2017-11-02","20:00","Golden State Warriors",112,"San Antonio Spurs",92,18418,""
"2017-11-02","22:30","Los Angeles Lakers",110,"Portland Trail Blazers",113,19469,""
"2017-11-03","19:00","Milwaukee Bucks",96,"Detroit Pistons",105,17207,""
"2017-11-03","19:00","Chicago Bulls",105,"Orlando Magic",83,19171,""
"2017-11-03","19:00","Indiana Pacers",110,"Philadelphia 76ers",121,20668,""
"2017-11-03","19:00","Cleveland Cavaliers",130,"Washington Wizards",122,20356,""
"2017-11-03","19:30","Houston Rockets",119,"Atlanta Hawks",104,14087,""
"2017-11-03","19:30","Phoenix Suns",107,"New York Knicks",120,19404,""
"2017-11-03","20:30","New Orleans Pelicans",99,"Dallas Mavericks",94,19894,""
"2017-11-03","20:30","Charlotte Hornets",101,"San Antonio Spurs",108,18418,""
"2017-11-03","21:00","Miami Heat",94,"Denver Nuggets",95,15317,""
"2017-11-03","21:00","Toronto Raptors",109,"Utah Jazz",100,16258,""
"2017-11-03","21:30","Boston Celtics",101,"Oklahoma City Thunder",94,18203,""
"2017-11-03","22:30","Brooklyn Nets",112,"Los Angeles Lakers",124,18997,""
"2017-11-04","15:30","Memphis Grizzlies",113,"Los Angeles Clippers",104,14777,""
"2017-11-04","19:00","Sacramento Kings",99,"Detroit Pistons",108,17683,""
"2017-11-04","20:00","New Orleans Pelicans",96,"Chicago Bulls",90,21254,""
"2017-11-04","20:00","Dallas Mavericks",99,"Minnesota Timberwolves",112,16837,""
"2017-11-04","21:00","Golden State Warriors",127,"Denver Nuggets",108,19711,""
"2017-11-05","15:00","Atlanta Hawks",117,"Cleveland Cavaliers",115,20562,""
"2017-11-05","15:30","Miami Heat",104,"Los Angeles Clippers",101,15676,""
"2017-11-05","18:00","Boston Celtics",104,"Orlando Magic",88,17731,""
"2017-11-05","18:00","Washington Wizards",107,"Toronto Raptors",96,19800,""
"2017-11-05","19:00","Utah Jazz",110,"Houston Rockets",137,16914,""
"2017-11-05","19:00","Phoenix Suns",95,"San Antonio Spurs",112,18038,""
"2017-11-05","19:30","Indiana Pacers",101,"New York Knicks",108,17889,""
"2017-11-05","20:00","Charlotte Hornets",94,"Minnesota Timberwolves",112,14124,""
"2017-11-05","21:00","Oklahoma City Thunder",99,"Portland Trail Blazers",103,19393,""
"2017-11-05","21:30","Memphis Grizzlies",102,"Los Angeles Lakers",107,18997,""
"2017-11-06","19:30","Boston Celtics",110,"Atlanta Hawks",107,13215,""
"2017-11-06","21:00","Brooklyn Nets",98,"Phoenix Suns",92,15905,""
"2017-11-06","22:30","Miami Heat",80,"Golden State Warriors",97,19596,""
"2017-11-07","19:00","Milwaukee Bucks",119,"Cleveland Cavaliers",124,20562,""
"2017-11-07","19:00","New Orleans Pelicans",117,"Indiana Pacers",112,15014,""
"2017-11-07","19:00","Dallas Mavericks",113,"Washington Wizards",99,14505,""
"2017-11-07","19:30","Charlotte Hornets",113,"New York Knicks",118,18704,""
"2017-11-07","19:30","Chicago Bulls",114,"Toronto Raptors",119,19800,""
"2017-11-07","20:30","Los Angeles Clippers",107,"San Antonio Spurs",120,18418,""
"2017-11-07","21:00","Brooklyn Nets",104,"Denver Nuggets",112,14058,""
"2017-11-07","21:00","Philadelphia 76ers",104,"Utah Jazz",97,16063,""
"2017-11-07","22:00","Memphis Grizzlies",98,"Portland Trail Blazers",97,18692,""
"2017-11-07","22:00","Oklahoma City Thunder",86,"Sacramento Kings",94,17583,""
"2017-11-08","19:00","Indiana Pacers",97,"Detroit Pistons",114,14407,""
"2017-11-08","19:00","New York Knicks",99,"Orlando Magic",112,18803,""
"2017-11-08","20:00","Los Angeles Lakers",96,"Boston Celtics",107,18624,""
"2017-11-08","21:00","Miami Heat",126,"Phoenix Suns",115,16500,""
"2017-11-08","22:30","Minnesota Timberwolves",101,"Golden State Warriors",125,19596,""
"2017-11-09","19:00","Los Angeles Lakers",95,"Washington Wizards",111,20356,""
"2017-11-09","19:30","New Orleans Pelicans",118,"Toronto Raptors",122,19800,""
"2017-11-09","20:00","Cleveland Cavaliers",113,"Houston Rockets",117,18055,""
"2017-11-09","22:00","Philadelphia 76ers",108,"Sacramento Kings",109,17583,""
"2017-11-09","22:30","Oklahoma City Thunder",94,"Denver Nuggets",102,19520,""
"2017-11-10","19:00","Atlanta Hawks",104,"Detroit Pistons",111,16687,""
"2017-11-10","19:30","Charlotte Hornets",87,"Boston Celtics",90,18624,""
"2017-11-10","20:00","Indiana Pacers",105,"Chicago Bulls",87,22416,""
"2017-11-10","21:00","Los Angeles Clippers",111,"Oklahoma City Thunder",120,18203,""
"2017-11-10","21:00","Orlando Magic",128,"Phoenix Suns",112,16507,""
"2017-11-10","21:00","Milwaukee Bucks",94,"San Antonio Spurs",87,18418,""
"2017-11-10","21:00","Miami Heat",84,"Utah Jazz",74,18306,""
"2017-11-10","22:00","Brooklyn Nets",101,"Portland Trail Blazers",97,19393,""
"2017-11-11","19:00","Los Angeles Clippers",103,"New Orleans Pelicans",111,17624,""
"2017-11-11","19:00","Atlanta Hawks",94,"Washington Wizards",113,17260,""
"2017-11-11","20:00","Memphis Grizzlies",96,"Houston Rockets",111,18055,""
"2017-11-11","20:00","Sacramento Kings",91,"New York Knicks",118,19812,""
"2017-11-11","20:30","Cleveland Cavaliers",111,"Dallas Mavericks",104,20378,""
"2017-11-11","20:30","Philadelphia 76ers",114,"Golden State Warriors",135,19596,""
"2017-11-11","20:30","Los Angeles Lakers",90,"Milwaukee Bucks",98,18717,""
"2017-11-11","20:30","Chicago Bulls",94,"San Antonio Spurs",133,18418,""
"2017-11-11","21:00","Orlando Magic",107,"Denver Nuggets",125,16688,""
"2017-11-11","21:00","Minnesota Timberwolves",110,"Phoenix Suns",118,16910,""
"2017-11-11","21:00","Brooklyn Nets",106,"Utah Jazz",114,17413,""
"2017-11-12","15:30","Toronto Raptors",94,"Boston Celtics",95,18624,""
"2017-11-12","16:00","Miami Heat",103,"Detroit Pistons",112,16236,""
"2017-11-12","18:00","Houston Rockets",118,"Indiana Pacers",95,15581,""
"2017-11-12","19:00","Dallas Mavericks",99,"Oklahoma City Thunder",112,18203,""
"2017-11-13","19:00","Sacramento Kings",92,"Washington Wizards",110,14660,""
"2017-11-13","19:30","Cleveland Cavaliers",104,"New York Knicks",101,19812,""
"2017-11-13","20:00","Memphis Grizzlies",103,"Milwaukee Bucks",110,13244,""
"2017-11-13","20:00","Atlanta Hawks",105,"New Orleans Pelicans",106,14631,""
"2017-11-13","21:00","Los Angeles Lakers",100,"Phoenix Suns",93,17533,""
"2017-11-13","21:00","Minnesota Timberwolves",109,"Utah Jazz",98,17236,""
"2017-11-13","22:00","Denver Nuggets",82,"Portland Trail Blazers",99,18895,""
"2017-11-13","22:30","Orlando Magic",100,"Golden State Warriors",110,19596,""
"2017-11-13","22:30","Philadelphia 76ers",109,"Los Angeles Clippers",105,19068,""
"2017-11-14","19:30","Boston Celtics",109,"Brooklyn Nets",102,17732,""
"2017-11-14","20:00","Toronto Raptors",129,"Houston Rockets",113,18055,""
"2017-11-14","20:30","San Antonio Spurs",97,"Dallas Mavericks",91,19535,""
"2017-11-15","19:30","Sacramento Kings",80,"Atlanta Hawks",126,13860,""
"2017-11-15","19:30","Washington Wizards",102,"Miami Heat",93,19600,""
"2017-11-15","19:30","Utah Jazz",101,"New York Knicks",106,18695,""
"2017-11-15","20:00","Cleveland Cavaliers",115,"Charlotte Hornets",107,19427,""
"2017-11-15","20:00","Indiana Pacers",116,"Memphis Grizzlies",113,16033,""
"2017-11-15","20:00","Detroit Pistons",95,"Milwaukee Bucks",99,14594,""
"2017-11-15","20:00","San Antonio Spurs",86,"Minnesota Timberwolves",98,18978,""
"2017-11-15","20:00","Toronto Raptors",125,"New Orleans Pelicans",116,15654,""
"2017-11-15","20:00","Chicago Bulls",79,"Oklahoma City Thunder",92,18203,""
"2017-11-15","22:00","Orlando Magic",94,"Portland Trail Blazers",99,19206,""
"2017-11-15","22:30","Philadelphia 76ers",115,"Los Angeles Lakers",109,18997,""
"2017-11-16","20:00","Golden State Warriors",88,"Boston Celtics",92,18624,""
"2017-11-16","22:30","Houston Rockets",142,"Phoenix Suns",116,16875,""
"2017-11-17","19:00","Detroit Pistons",100,"Indiana Pacers",107,17188,""
"2017-11-17","19:00","Miami Heat",91,"Washington Wizards",88,17551,""
"2017-11-17","19:30","Utah Jazz",107,"Brooklyn Nets",118,14495,""
"2017-11-17","19:30","Los Angeles Clippers",113,"Cleveland Cavaliers",118,20562,""
"2017-11-17","19:30","New York Knicks",84,"Toronto Raptors",107,19800,""
"2017-11-17","20:00","Charlotte Hornets",120,"Chicago Bulls",123,20493,""
"2017-11-17","20:00","Oklahoma City Thunder",101,"San Antonio Spurs",104,18418,""
"2017-11-17","20:30","Minnesota Timberwolves",111,"Dallas Mavericks",87,19459,""
"2017-11-17","22:00","Portland Trail Blazers",82,"Sacramento Kings",86,17583,""
"2017-11-17","22:30","New Orleans Pelicans",114,"Denver Nuggets",146,16816,""
"2017-11-17","22:30","Phoenix Suns",122,"Los Angeles Lakers",113,18997,""
"2017-11-18","19:00","Los Angeles Clippers",87,"Charlotte Hornets",102,17640,""
"2017-11-18","19:00","Utah Jazz",125,"Orlando Magic",85,19157,""
"2017-11-18","19:30","Boston Celtics",110,"Atlanta Hawks",99,16381,""
"2017-11-18","19:30","Golden State Warriors",124,"Philadelphia 76ers",116,20848,""
