"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1980-10-23","","New York Knicks","109","Boston Celtics","107","12941","at Hartford, CT"
"1980-11-09","","Chicago Bulls","105","Boston Celtics","111","8627","at Hartford, CT"
"1980-12-07","","Washington Bullets","113","Boston Celtics","103","11430","at Hartford, CT"
"1981-01-19","","Detroit Pistons","90","Boston Celtics","92","9941","at Hartford, CT"
"1981-03-13","","Indiana Pacers","101","Boston Celtics","94","15622","at Hartford, CT"
"1981-11-13","","New Jersey Nets","97","Boston Celtics","111","11753","at Hartford, CT"
"1981-12-11","","Atlanta Hawks","86","Boston Celtics","94","13369","at Hartford, CT"
"1982-01-10","","Detroit Pistons","124","Boston Celtics","134","15429","at Hartford, CT"
"1982-11-30","","Detroit Pistons","123","Boston Celtics","116","11762","at Hartford, CT"
"1982-11-30","","Los Angeles Lakers","114","San Antonio Spurs","117","12115","Game protested and completed on 1983-04-13"
"1982-12-05","","Seattle SuperSonics","103","Kansas City Kings","106","8180","at St. Louis, MO"
"1983-01-31","","Chicago Bulls","104","Boston Celtics","110","12742","at Hartford, CT"
"1983-02-16","","Phoenix Suns","111","Kansas City Kings","102","6078","at St. Louis, MO"
"1983-03-07","","New Jersey Nets","114","Boston Celtics","121","15165","at Hartford, CT"
"1983-11-23","","Chicago Bulls","128","Utah Jazz","117","13176","at Las Vegas, NV"
"1983-11-29","","Phoenix Suns","110","Utah Jazz","114","7143","at Las Vegas, NV"
"1983-12-09","","Denver Nuggets","90","Boston Celtics","119","13374","at Hartford, CT"
"1983-12-09","","San Antonio Spurs","126","Utah Jazz","117","7258","at Las Vegas, NV"
"1984-01-04","","Houston Rockets","111","Utah Jazz","116","8190","at Las Vegas, NV"
"1984-01-18","","Dallas Mavericks","107","Seattle SuperSonics","114","13684","at Tacoma, WA"
"1984-01-20","","Indiana Pacers","125","Boston Celtics","132","13134","at Hartford, CT"
"1984-01-24","","Dallas Mavericks","123","Utah Jazz","115","7752","at Las Vegas, NV"
"1984-01-31","","Seattle SuperSonics","94","Utah Jazz","98","7148","at Las Vegas, NV"
"1984-02-07","","San Diego Clippers","109","Utah Jazz","103","7015","at Las Vegas, NV"
"1984-03-02","","Chicago Bulls","100","Boston Celtics","104","14529","at Hartford, CT"
"1984-03-02","","Indiana Pacers","90","Seattle SuperSonics","99","11929","at Tacoma, WA"
"1984-03-23","","Golden State Warriors","115","Utah Jazz","104","6241","at Las Vegas, NV"
"1984-03-25","","Utah Jazz","121","Seattle SuperSonics","98","11574","at Tacoma, WA"
"1984-04-05","","Los Angeles Lakers","129","Utah Jazz","115","18359","at Las Vegas, NV"
"1984-04-08","","Houston Rockets","107","Seattle SuperSonics","120","10220","at Tacoma, WA"
"1984-04-10","","Denver Nuggets","120","Utah Jazz","135","7357","at Las Vegas, NV"
"1984-04-21","","Dallas Mavericks","94","Seattle SuperSonics","104","10229","at Seattle, WA (Seattle Coliseum)"
"1984-04-26","","Seattle SuperSonics","104","Dallas Mavericks","105","9007","at University Park, TX"
"1984-11-02","","Seattle SuperSonics","101","Utah Jazz","107","3955","at Las Vegas, NV"
"1984-11-21","","Utah Jazz","90","Atlanta Hawks","122","4107","at New Orleans, LA"
"1984-11-28","","Milwaukee Bucks","83","Atlanta Hawks","95","2172","at New Orleans, LA"
"1984-12-09","","Kansas City Kings","120","Utah Jazz","123","4070","at Las Vegas, NV"
"1984-12-11","","New Jersey Nets","121","Boston Celtics","130","13357","at Hartford, CT"
"1984-12-12","","Cleveland Cavaliers","99","Atlanta Hawks","116","3082","at New Orleans, LA"
"1984-12-20","","Chicago Bulls","132","Atlanta Hawks","129","5647","at New Orleans, LA"
"1984-12-26","","New York Knicks","105","Atlanta Hawks","117","3846","at New Orleans, LA"
"1984-12-29","","Denver Nuggets","115","Seattle SuperSonics","108","8003","at Tacoma, WA"
"1985-01-15","","Los Angeles Clippers","83","Seattle SuperSonics","101","5612","at Tacoma, WA"
"1985-01-22","","Detroit Pistons","130","Atlanta Hawks","113","4109","at New Orleans, LA"
"1985-01-29","","Indiana Pacers","106","Atlanta Hawks","115","3082","at New Orleans, LA"
"1985-01-29","","Detroit Pistons","130","Boston Celtics","131","15685","at Hartford, CT"
"1985-02-05","","Dallas Mavericks","112","Atlanta Hawks","103","3127","at New Orleans, LA"
"1985-02-22","","Chicago Bulls","105","Boston Celtics","115","15685","at Hartford, CT"
"1985-02-28","","Cleveland Cavaliers","120","Seattle SuperSonics","95","5016","at Tacoma, WA"
"1985-03-05","","Portland Trail Blazers","100","Atlanta Hawks","91","2822","at New Orleans, LA"
"1985-03-12","","Boston Celtics","126","Atlanta Hawks","115","10079","at New Orleans, LA"
"1985-03-26","","New Jersey Nets","109","Atlanta Hawks","108","2782","at New Orleans, LA"
"1985-04-11","","Dallas Mavericks","124","Seattle SuperSonics","80","4272","at Tacoma, WA"
"1985-05-27","","Los Angeles Lakers","114","Boston Celtics","148","14890","Memorial Day Massacre"
"1985-12-10","","Atlanta Hawks","110","Boston Celtics","114","14493","at Hartford, CT"
"1986-02-23","","Indiana Pacers","98","Boston Celtics","113","15124","at Hartford, CT"
"1986-03-18","","Cleveland Cavaliers","96","Boston Celtics","126","15134","at Hartford, CT"
"1986-12-02","","Washington Bullets","117","Boston Celtics","109","15134","at Hartford, CT"
"1987-02-23","","New Jersey Nets","103","Boston Celtics","116","15134","at Hartford, CT"
"1987-03-24","","Cleveland Cavaliers","88","Boston Celtics","111","15134","at Hartford, CT"
"1987-04-28","","Dallas Mavericks","107","Seattle SuperSonics","117","8150","\"at Seattle, WA (Clarence S. \"\"Hec\"\" Edmundson Pavillion)\""
"1987-04-30","","Dallas Mavericks","98","Seattle SuperSonics","124","8150","\"at Seattle, WA (Clarence S. \"\"Hec\"\" Edmundson Pavillion)\""
"1987-11-23","","Chicago Bulls","107","Boston Celtics","102","15134","at Hartford, CT"
"1988-02-22","","New York Knicks","93","Boston Celtics","95","15134","at Hartford, CT"
"1988-03-11","","Indiana Pacers","112","Boston Celtics","122","15134","at Hartford, CT"
"1988-11-22","","Cleveland Cavaliers","114","Boston Celtics","102","15239","at Hartford, CT"
"1989-01-29","","Cleveland Cavaliers","117","Washington Bullets","122","10129","at Baltimore, MD"
"1989-02-24","","Milwaukee Bucks","112","Boston Celtics","125","15239","at Hartford, CT"
"1989-02-24","","New York Knicks","127","Washington Bullets","130","13137","at Baltimore, MD"
"1989-03-13","","New Jersey Nets","91","Boston Celtics","114","15239","at Hartford, CT"
"1989-04-28","","Houston Rockets","107","Seattle SuperSonics","111","14250","at Kingdome"
"1989-04-30","","Houston Rockets","97","Seattle SuperSonics","109","12887","at Kingdome"
"1989-05-07","","Chicago Bulls","101","Cleveland Cavaliers","100","20273","The Shot"
"1989-05-12","","Los Angeles Lakers","91","Seattle SuperSonics","86","14541","at Kingdome"
"1989-05-14","","Los Angeles Lakers","97","Seattle SuperSonics","95","14006","at Kingdome"
"1989-11-10","","Cleveland Cavaliers","92","Washington Bullets","100","11718","at Baltimore, MD"
"1989-11-14","","Philadelphia 76ers","94","Boston Celtics","96","15239","at Hartford, CT"
"1989-12-01","","Philadelphia 76ers","90","Washington Bullets","107","12002","at Baltimore, MD"
"1990-02-06","","Milwaukee Bucks","119","Boston Celtics","106","15239","at Hartford, CT"
"1990-02-18","","Indiana Pacers","97","Washington Bullets","116","10347","at Baltimore, MD"
"1990-03-09","","Washington Bullets","115","Boston Celtics","108","15239","at Hartford, CT"
"1990-03-17","","Atlanta Hawks","119","Washington Bullets","92","12055","at Baltimore, MD"
"1990-11-02","","Phoenix Suns","119","Utah Jazz","96","10111","at Tokyo, Japan (Tokyo Metropolitan Gymnasium)"
"1990-11-03","","Utah Jazz","102","Phoenix Suns","101","10111","at Tokyo, Japan (Tokyo Metropolitan Gymnasium)"
"1990-11-10","","Golden State Warriors","117","Seattle SuperSonics","100","13130","at Tacoma, WA"
"1990-11-26","","Miami Heat","101","Boston Celtics","118","15239","at Hartford, CT"
"1990-12-26","","Philadelphia 76ers","106","Washington Bullets","105","12066","at Baltimore, MD"
"1991-01-25","","Indiana Pacers","106","Washington Bullets","100","8808","at Baltimore, MD"
"1991-02-17","","Cleveland Cavaliers","104","Washington Bullets","108","10024","at Baltimore, MD"
"1991-02-22","","New Jersey Nets","99","Boston Celtics","111","15239","at Hartford, CT"
"1991-03-04","","Indiana Pacers","101","Boston Celtics","126","15239","at Hartford, CT"
"1991-03-22","","Atlanta Hawks","116","Washington Bullets","121","10409","at Baltimore, MD"
"1991-03-27","","Portland Trail Blazers","112","Seattle SuperSonics","107","18167","at Tacoma, WA"
"1991-04-10","","Los Angeles Clippers","108","Seattle SuperSonics","140","5714","at Tacoma, WA"
"1991-11-25","","Washington Bullets","108","Boston Celtics","121","14678","at Hartford, CT"
"1991-12-28","","Charlotte Hornets","124","Washington Bullets","129","12054","at Baltimore, MD"
"1992-01-18","","Philadelphia 76ers","105","Washington Bullets","101","12054","at Baltimore, MD"
"1992-02-17","","Atlanta Hawks","117","Washington Bullets","110","12054","at Baltimore, MD"
"1992-02-21","","Charlotte Hornets","110","Boston Celtics","113","15239","at Hartford, CT"
"1992-03-07","","Milwaukee Bucks","90","Washington Bullets","94","12054","at Baltimore, MD"
"1992-03-13","","New Jersey Nets","110","Boston Celtics","108","15239","at Hartford, CT"
"1992-05-03","","Portland Trail Blazers","102","Los Angeles Lakers","76","15478","at Las Vegas, NV"
"1992-05-03","","Utah Jazz","107","Los Angeles Clippers","115","7148","at Anaheim, CA (Anaheim Convention Center)"
"1992-11-06","","Seattle SuperSonics","111","Houston Rockets","94","14544","at Yokohama, Japan"
"1992-11-07","","Houston Rockets","85","Seattle SuperSonics","89","14544","at Yokohama, Japan"
"1992-11-23","","Atlanta Hawks","101","Boston Celtics","97","13299","at Hartford, CT"
"1992-11-27","","Minnesota Timberwolves","102","Washington Bullets","83","12346","at Baltimore, MD"
"1992-12-26","","Detroit Pistons","99","Washington Bullets","97","12346","at Baltimore, MD"
"1993-01-16","","New Jersey Nets","109","Washington Bullets","101","12346","at Baltimore, MD"
"1993-02-09","","Milwaukee Bucks","92","Boston Celtics","104","14137","at Hartford, CT"
"1993-03-15","","Cleveland Cavaliers","101","Washington Bullets","105","12346","at Baltimore, MD"
"1993-03-28","","Washington Bullets","113","Boston Celtics","114","15239","at Hartford, CT"
"1993-05-17","","Chicago Bulls","103","Cleveland Cavaliers","101","20274","The Shot 2"
"1993-11-20","","Miami Heat","102","Washington Bullets","104","12756","at Baltimore, MD"
"1993-11-22","","Indiana Pacers","102","Boston Celtics","71","13200","at Hartford, CT"
"1993-12-11","","Atlanta Hawks","116","Washington Bullets","108","12756","at Baltimore, MD"
"1994-01-21","","Cleveland Cavaliers","106","Los Angeles Clippers","90","9298","at Inglewood, CA"
"1994-01-22","","Detroit Pistons","93","Washington Bullets","98","12756","at Baltimore, MD"
"1994-01-27","","New York Knicks","103","Los Angeles Clippers","101","17507","at Anaheim, CA"
"1994-02-17","","New Jersey Nets","117","Boston Celtics","98","12588","at Hartford, CT"
"1994-02-18","","New Jersey Nets","113","Washington Bullets","110","12756","at Baltimore, MD"
"1994-03-27","","Philadelphia 76ers","122","Boston Celtics","124","13259","at Hartford, CT"
"1994-11-04","","Portland Trail Blazers","121","Los Angeles Clippers","100","14229","at Yokohama, Japan"
